param,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_corn,precision_orchards,precision_cereals,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_corn,recall_orchards,recall_cereals,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables
1.25,0.5890625,0.5303571428571427,0.5890625,0.566958100982794,0.566958100982794,0.5890625,0.5890625,0.5890625,0.5890625,0.6042958845750556,0.6042958845750557,0.4529598455885586,0.5231494374686863,0.7211098852603708,0.559292266872912,0.5235120435120436,0.41474474892196406,0.6326799825487646,0.7385248495350808,0.721353862480623,0.5250000000000001,0.76,0.7225,0.205,0.3025,0.9,0.6125,0.685
1.5,0.585625,0.5264285714285715,0.585625,0.5690308304548252,0.5690308304548252,0.585625,0.585625,0.585625,0.585625,0.636516509233221,0.636516509233221,0.5086707410709336,0.5110868195091496,0.5833192261543948,0.5240535792709705,0.5649035424669226,0.6570384806864128,0.8194244209801939,0.6865367062563548,0.7457692985413688,0.49749999999999994,0.7449999999999999,0.7275,0.325,0.2625,0.8450000000000001,0.6125,0.67
2.0,0.5387500000000001,0.47285714285714286,0.5387500000000001,0.5029501367173509,0.5029501367173509,0.5387500000000001,0.53875,0.5387500000000001,0.5387500000000001,0.5341045432938205,0.5341045432938205,0.31013736619361565,0.40488191004764407,0.6405853739345201,0.5865810786015724,0.5526367352454309,0.24786324786324787,0.5579608350127601,0.66320571985686,0.6191214457885283,0.4149999999999999,0.575,0.6475000000000001,0.22999999999999998,0.1775,0.9099999999999999,0.6875,0.6674999999999999
3.0,0.609375,0.5535714285714286,0.609375,0.5969260231132402,0.5969260231132403,0.609375,0.6093749999999999,0.609375,0.609375,0.6430923189316715,0.6430923189316715,0.5465199474185491,0.47530894307564076,0.8614149047051816,0.6296418173239445,0.4585961966682147,0.48084376863446626,0.6813694259282774,0.7495205354869221,0.8080429596307251,0.5399999999999999,0.7125,0.6924999999999999,0.4175,0.3175,0.9200000000000002,0.64,0.635
4.0,0.4690625,0.3932142857142857,0.4690625,0.4324301093763059,0.4324301093763059,0.4690625,0.4690625,0.4690625,0.4690625,0.47835027281198067,0.47835027281198067,0.2304825117717561,0.3939276177207212,0.5851610063818112,0.47948178725896556,0.3519676113360324,0.2694871794871795,0.4031081572327249,0.7138571336149132,0.6298116894634971,0.16499999999999998,0.47000000000000003,0.7150000000000001,0.2225,0.135,0.845,0.5900000000000001,0.61
