epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_corn,precision_orchards,precision_cereals,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_corn,recall_orchards,recall_cereals,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.3368976531037356,0.2180950387424676,0.3368976531037356,0.174036616345847,0.26503083785019943,0.3368976531037356,0.2699510641459344,0.3368976531037356,0.3368976531037356,0.14640728946770687,0.24059107314143993,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.20693391115926327,0.688298918387414,0.2489984591679507,0.0,0.0,0.27,0.0,0.0,0.38276553106212424,0.6996501749125438,0.8071928071928072,3.2963305,2.9552007,357782144,357782144,183.63362193107605,101960
1,0.44354950701291485,0.36240305559617103,0.44354950701291485,0.36273554512046935,0.4737017684256644,0.44354950701291485,0.4526746159052295,0.44354950701291485,0.44354950701291485,0.4210676520991123,0.6527611170131404,0.3990776284051357,0.05454545454545454,0.43705463182897863,0.04292527821939587,0.7934508816120907,0.17684887459807075,0.3776824034334764,0.9024216524216524,0.5836120401337793,0.3,0.368,0.54,0.1575,0.22,0.7054108216432866,0.6331834082958521,0.6973026973026973,2.836642,2.243791,357782144,715564288,186.77348232269287,101960
2,0.5778364116094987,0.5033568780295861,0.5778364116094987,0.4690596130457672,0.599060192647632,0.5778364116094987,0.5657049551120238,0.5778364116094987,0.5778364116094987,0.5169576165873648,0.7204987031828317,0.47710946550374944,0.04861111111111111,0.627906976744186,0.09594882729211088,0.8257142857142857,0.38636363636363635,0.6390449438202247,0.8688711516533637,0.6432,0.56,0.648,0.45,0.289,0.102,0.9118236472945892,0.7616191904047976,0.8031968031968032,2.1173658,1.7376733,357782144,1073346432,181.75939106941223,101960
3,0.6479655603388418,0.5840863771729305,0.6479655603388418,0.5622929921743991,0.6920397369492224,0.6479655603388418,0.6615357420688004,0.6479655603388418,0.6479655603388418,0.5799250755769554,0.7854884696394288,0.6387652766604198,0.08858603066439523,0.8214643931795386,0.08684863523573201,0.8327526132404182,0.33387888707037644,0.8100172711571675,0.9131326949384405,0.7527200791295747,0.52,0.819,0.7,0.478,0.408,0.9398797595190381,0.6671664167916042,0.7602397602397603,1.7615142,1.5000565,357782144,1431128576,188.11082768440247,101960
4,0.682821830301347,0.6230442094665269,0.682821830301347,0.6034187889183661,0.7254433815975491,0.682821830301347,0.7070290822505475,0.682821830301347,0.682821830301347,0.6165266321507128,0.8098483855341194,0.6934973212139464,0.13785557986870897,0.932475884244373,0.09,0.8141160027952481,0.3722627737226277,0.896887159533074,0.9242424242424242,0.764373232799246,0.63,0.87,0.72,0.5825,0.51,0.9238476953907816,0.6096951524237881,0.8101898101898102,1.4343293,1.3650726,357782144,1788910720,185.47498416900635,101960
5,0.7353145396472712,0.6807077555196421,0.7353145396472713,0.6374773410232332,0.7668293619296258,0.7353145396472712,0.7338925869916684,0.7353145396472712,0.7353145396472712,0.6389139581426614,0.822958242990329,0.7209141199833159,0.1488469601677149,0.9240246406570842,0.12264150943396226,0.8316766070245195,0.4416961130742049,0.9425051334702259,0.9188168659534298,0.7811038353601497,0.71,0.9,0.65,0.6275,0.5,0.9198396793587175,0.7296351824087957,0.8341658341658341,1.2695491,1.230084,357782144,2146692864,182.30376768112183,101960
6,0.6751840022219137,0.6179916401121299,0.6751840022219137,0.6154863587752788,0.7176090954240875,0.6751840022219137,0.7341506646000497,0.6751840022219137,0.6751840022219137,0.638891889627536,0.8371417632054899,0.7191876979509311,0.1977715877437326,0.9706227967097533,0.07835051546391752,0.8876058506543495,0.41633199464524767,0.9437751004016064,0.9574074074074074,0.6592698639942735,0.71,0.826,0.76,0.5765,0.622,0.9418837675350702,0.5167416291854073,0.9200799200799201,1.2205169,1.3370118,357782144,2504475008,185.84860396385193,101960
7,0.6899041799750034,0.6350071501207576,0.6899041799750034,0.6364590109354962,0.7379945192107022,0.6899041799750034,0.7412669768233707,0.6899041799750034,0.6899041799750034,0.6636817582198365,0.8608944569752042,0.7303886200961631,0.3229166666666667,0.9670454545454545,0.08940397350993377,0.9457364341085271,0.30919446704637915,0.9549356223175965,0.946498819826908,0.7737226277372263,0.62,0.851,0.81,0.549,0.76,0.8917835671342685,0.6011994002998501,0.8471528471528471,1.1553438,1.2707431,357782144,2862257152,181.7192223072052,101960
8,0.7293431467851688,0.676500974732557,0.7293431467851688,0.6489001190821706,0.7555355015594886,0.7293431467851688,0.7490498189136789,0.7293431467851688,0.7293431467851688,0.6559654114083937,0.846295294082921,0.7370306078592085,0.2948717948717949,0.9115853658536586,0.11655405405405406,0.9656453110492108,0.3847953216374269,0.9861431870669746,0.9359543436905516,0.6521739130434783,0.69,0.897,0.69,0.52,0.658,0.8557114228456913,0.7376311844077961,0.9440559440559441,1.0092301,1.2677495,357782144,3220039296,190.75631475448608,101960
9,0.7564227190667963,0.7060885336529807,0.7564227190667961,0.664296397142925,0.7848594646649153,0.7564227190667963,0.7655840767838555,0.7564227190667963,0.7564227190667963,0.6571019544343695,0.8426002402444368,0.7575811757557596,0.21839080459770116,0.9676339285714286,0.12549019607843137,0.8513429106808245,0.4447513812154696,0.9223300970873787,0.9516348773841962,0.7752414398595259,0.76,0.867,0.64,0.6815,0.644,0.9519038076152304,0.6981509245377311,0.8821178821178821,1.0259922,1.0299915,357782144,3577821440,185.81707048416138,101960
10,0.7493403693931399,0.6994034509778599,0.7493403693931399,0.6613842712921052,0.7835798292527009,0.7493403693931399,0.7784604474072201,0.7493403693931399,0.7493403693931399,0.6606640712533846,0.8539195596844615,0.770948669625428,0.19221967963386727,0.9733924611973392,0.12190812720848057,0.8832315003394433,0.4411764705882353,0.9384920634920635,0.9522835719154737,0.782608695652174,0.84,0.878,0.69,0.6505,0.66,0.9478957915831663,0.6981509245377311,0.8631368631368631,1.0338407,1.0438235,357782144,3935603584,181.82296633720398,101960
11,0.740869323705041,0.6909034626348243,0.7408693237050409,0.6587704193328606,0.7777864639617493,0.740869323705041,0.7736434744363603,0.740869323705041,0.740869323705041,0.663335092338818,0.8603217982345005,0.7652247698707725,0.21081081081081082,0.9513742071881607,0.10098176718092566,0.910801393728223,0.45034013605442175,0.9608247422680413,0.963130173062453,0.7584175084175084,0.78,0.9,0.72,0.6535,0.662,0.9338677354709419,0.63968015992004,0.9000999000999002,1.038986,1.0650005,357782144,4293385728,184.65455055236816,101960
