epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_corn,precision_orchards,precision_cereals,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_corn,recall_orchards,recall_cereals,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
35,0.713512012220525,0.6503786556128337,0.713512012220525,0.5961376090645132,0.748142276749745,0.713512012220525,0.6538600774225773,0.713512012220525,0.713512012220525,0.6845173687420376,0.8309379456455832,0.5744272615558177,0.07580645161290323,0.9245087900723888,0.23076923076923078,0.7621483375959079,0.7154471544715447,0.9851116625310173,0.8705826170009551,0.9117647058823529,0.94,0.894,0.3,0.596,0.176,0.794,0.9115,0.6193806193806194,0.43320218,0.651587,154860928,5574993408,84.97322297096252,101960
36,0.7461463685599222,0.6960251669954058,0.7461463685599222,0.668931577272219,0.7826780633796087,0.7461463685599222,0.7562037337662337,0.7461463685599222,0.7461463685599222,0.6757183178978734,0.8590818689261902,0.7465752399609923,0.3782051282051282,0.9159067882472138,0.09949622166246852,0.937888198757764,0.38875878220140514,0.9348739495798319,0.9335443037974683,0.8170731707317073,0.59,0.904,0.79,0.604,0.664,0.89,0.7375,0.8701298701298701,0.70083237,0.5161041,154860928,5729854336,88.64463424682617,101960
37,0.7382308012776003,0.6872829015029324,0.7382308012776003,0.6538419232679112,0.7695220534641171,0.7382308012776003,0.7673181193806194,0.7382308012776003,0.7382308012776003,0.6584498561692547,0.8520294749409506,0.7514846032596145,0.24666666666666667,0.9299492385786802,0.1036745406824147,0.9235048678720446,0.5149700598802395,0.9073359073359073,0.9701492537313433,0.6713483146067416,0.74,0.916,0.79,0.664,0.516,0.94,0.6175,0.955044955044955,0.6628769,0.46303314,154860928,5884715264,89.56150317192078,101960
38,0.7865574225801972,0.7413897399136575,0.7865574225801972,0.6931230534174488,0.8101277474116951,0.7865574225801972,0.7875086163836164,0.7865574225801972,0.7865574225801972,0.6807353974728321,0.8605956215215019,0.7808114218457638,0.30973451327433627,0.9631236442516269,0.14015151515151514,0.9169391759319817,0.5030581039755352,0.9189723320158103,0.9494949494949495,0.744408945686901,0.7,0.888,0.74,0.701,0.658,0.93,0.752,0.9310689310689311,0.52879846,0.4281963,154860928,6039576192,88.52388572692871,101960
39,0.7572559366754618,0.7088504158418003,0.7572559366754618,0.6607244650440096,0.7861022382370555,0.7572559366754618,0.7782594905094905,0.7572559366754618,0.7572559366754618,0.6528882548819199,0.8543938257015099,0.7677528940445407,0.20565552699228792,0.953732912723449,0.12962962962962962,0.9227436823104693,0.4482758620689655,0.8540540540540541,0.9588116137744767,0.7502027575020276,0.8,0.907,0.7,0.639,0.598,0.948,0.71,0.9240759240759241,0.41013598,0.4433417,154860928,6194437120,90.43385982513428,101960
40,0.7697542008054437,0.7217953433848351,0.7697542008054437,0.677907885741642,0.8020656225589222,0.7697542008054437,0.7772001123876124,0.7697542008054437,0.7697542008054437,0.6896010966464454,0.8669237403226661,0.7645657528684692,0.2267080745341615,0.9572471324296142,0.10568031704095113,0.8604143947655398,0.6485148514851485,0.9524793388429752,0.9643399089529591,0.8014247551202137,0.73,0.918,0.8,0.789,0.524,0.922,0.6355,0.8991008991008991,0.4262796,0.44950536,154860928,6349298048,89.63253402709961,101960
41,0.7608665463130121,0.7132049436967867,0.7608665463130121,0.6850372826201707,0.7932921206624673,0.7608665463130121,0.7870729895104895,0.7608665463130121,0.7608665463130121,0.6827622599423075,0.8654349713339037,0.7805071289492619,0.3626943005181347,0.9712707182320443,0.1125,0.9343683839096684,0.45256410256410257,0.928,0.9527397260273973,0.7479608482871125,0.7,0.879,0.81,0.662,0.706,0.928,0.6955,0.916083916083916,0.4106186,0.42175204,154860928,6504158976,90.48322701454163,101960
42,0.740313845299264,0.6908226595978115,0.740313845299264,0.6851925071132893,0.7880459064964965,0.740313845299264,0.7620176073926074,0.740313845299264,0.740313845299264,0.7124421314315528,0.8774148567566492,0.7488771144652656,0.5473684210526316,0.9579288025889967,0.08202764976958525,0.9383852691218131,0.4508301404853129,0.9444444444444444,0.9436008676789588,0.8349514563106796,0.52,0.888,0.89,0.6625,0.706,0.918,0.6525,0.8591408591408591,0.46123636,0.47497693,154860928,6659019904,87.9839289188385,101960
43,0.7598944591029023,0.7122904616116115,0.7598944591029023,0.6784359984851327,0.7890991127335071,0.7598944591029023,0.7828197427572428,0.7598944591029023,0.7598944591029023,0.6734062972165922,0.8616741381200426,0.7735900500370397,0.3333333333333333,0.9134328358208955,0.11651917404129794,0.9516616314199395,0.4366754617414248,0.929718875502008,0.9533152909336942,0.7525937749401437,0.69,0.918,0.79,0.63,0.662,0.926,0.7045,0.942057942057942,0.60742724,0.41098005,154860928,6813880832,88.2461667060852,101960
44,0.7723927232328843,0.7234963335459472,0.7723927232328844,0.6599310726865041,0.7961068950245269,0.7723927232328843,0.7446376123876124,0.7723927232328843,0.7723927232328843,0.6686538308768208,0.8475551319064519,0.7089106960214376,0.1174934725848564,0.9669603524229075,0.23391812865497075,0.8744525547445255,0.6211699164345403,0.8244406196213425,0.9178440607012036,0.7929515418502202,0.9,0.878,0.4,0.599,0.446,0.958,0.877,0.8991008991008991,0.4408375,0.4596727,154860928,6968741760,84.35533475875854,101960
