epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_wheat,recall_corn,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.22469385462307606,0.0,0.22469385462307606,0.03669388129529401,0.082448896293212,0.22469385462307606,0.1,0.22469385462307606,0.22469385462307606,0.022469385462307607,0.050487328305376035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22469385462307606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.6105545,1.9803258,186905600,186905600,103.6592366695404,102090
1,0.22469385462307606,0.0,0.22469385462307606,0.03669388129529401,0.082448896293212,0.22469385462307606,0.1,0.22469385462307606,0.22469385462307606,0.022469385462307607,0.050487328305376035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22469385462307606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9010457,1.9741212,186905600,373811200,106.24036502838135,102090
2,0.23997303673744524,0.02098234603919713,0.23997303673744524,0.06251030262083727,0.1258933179178874,0.23997303673744524,0.1103,0.23997303673744524,0.23997303673744524,0.12502806289324617,0.18262681247780288,0.0,0.0,0.2532149012329312,0.0,0.0,0.0,0.0,0.875,0.0,0.12206572769953052,0.0,0.0,0.955,0.0,0.0,0.0,0.0,0.07,0.0,0.078,0.0,1.9153944,1.8845445,186905600,560716800,104.30215764045715,102090
3,0.47196944163577126,0.3394001369149815,0.47196944163577126,0.22669192012548228,0.4070937772306422,0.47196944163577126,0.26263825587206396,0.47196944163577126,0.47196944163577126,0.22904109251949473,0.41083869034526854,0.0,0.49473684210526314,0.38554778554778557,0.0,0.0,0.0,0.0,0.5686274509803921,0.0,0.604289544235925,0.2372093023255814,0.23488255872063968,0.827,0.0,0.0,0.0,0.0,0.899,0.0,0.5635,0.102,1.9493663,1.5748606,186905600,747622400,107.0439248085022,102090
4,0.6368947309291091,0.548377466848764,0.6368947309291091,0.3294630259668587,0.5777828840124365,0.6368947309291091,0.3636224887556222,0.6368947309291091,0.6368947309291091,0.3156017769060722,0.5498534287166487,0.0,0.7257745550428477,0.5636489767603191,0.0,0.0,0.0,0.0,0.554641598119859,0.0,0.736036408771204,0.5759162303664922,0.5502248875562219,0.8125,0.0,0.0,0.0,0.0,0.944,0.0,0.8895,0.44,1.5036012,1.2420795,186905600,934528000,107.3731620311737,102090
5,0.721042579485451,0.6539039974501136,0.721042579485451,0.38183281839882277,0.6644271866131252,0.721042579485451,0.41485797101449273,0.721042579485451,0.721042579485451,0.45211198393598434,0.6738977844743081,0.0,0.7416225749559083,0.731897341888176,0.0,0.0,0.0,0.5,0.5634730538922156,0.5333333333333333,0.8300308234258036,0.6207627118644068,0.8405797101449275,0.7985,0.0,0.0,0.0,0.008,0.941,0.032,0.9425,0.586,1.1519418,1.0129567,186905600,1121433600,103.58266186714172,102090
6,0.7684529828109201,0.7149125838070594,0.7684529828109201,0.435666858577746,0.7244952794505679,0.7684529828109201,0.4646557221389306,0.7684529828109201,0.7684529828109201,0.4529140136426363,0.7126943212564328,0.0,0.7861579414374446,0.8584521384928717,0.0,0.0,0.0,0.3170731707317073,0.6114285714285714,0.5,0.8704710144927537,0.5855572998430141,0.8855572213893054,0.843,0.0,0.0,0.0,0.026,0.963,0.222,0.961,0.746,0.91001457,0.86361533,186905600,1308339200,101.68315744400024,102090
7,0.7709246152117739,0.7205068665942784,0.7709246152117739,0.44568551635444154,0.7358501268802314,0.7709246152117739,0.48285562218890554,0.7709246152117739,0.7709246152117739,0.4461709452306367,0.7314195179613562,0.0,0.8080072793448589,0.9540507859733979,0.0,0.0,0.0,0.23809523809523808,0.5752941176470588,0.4276729559748428,0.8986454927603923,0.5599435825105783,0.8875562218890555,0.789,0.0,0.0,0.0,0.01,0.978,0.408,0.962,0.794,0.7972622,0.8264251,186905600,1495244800,104.99793529510498,102090
8,0.7913717559824739,0.7453321728844864,0.7913717559824739,0.4680468262898481,0.7586287246262398,0.7913717559824739,0.5017537731134433,0.7913717559824739,0.7913717559824739,0.47517411583878244,0.7571528363465352,0.0,0.7939914163090128,0.9612044006948466,0.0,0.0,0.0,0.3333333333333333,0.5932515337423313,0.5531400966183575,0.9555555555555556,0.5612648221343873,0.9245377311344328,0.83,0.0,0.0,0.0,0.04,0.967,0.458,0.946,0.852,0.76123786,0.74908775,186905600,1682150400,103.72537875175476,102090
9,0.8038422649140546,0.7597887855199859,0.8038422649140546,0.4822566760582535,0.7725437770843239,0.8038422649140546,0.5035038230884558,0.8038422649140546,0.8038422649140546,0.4886993578409841,0.7639733180143388,0.0,0.8162544169611308,0.9142999501743896,0.0,0.0,0.0,0.31496062992125984,0.580473372781065,0.5833333333333334,0.9798301486199575,0.697841726618705,0.9235382308845578,0.9175,0.0,0.0,0.0,0.08,0.981,0.434,0.923,0.776,0.717775,0.6912697,186905600,1869056000,101.09996056556702,102090
