Metric,test_Highest GMean Epoch,val_Highest GMean Epoch,val_mean,val_std,val_min,val_25%,val_50%,val_75%,val_max
accuracy,0.5774485203329749,0.8408044039995506,0.7762562096100586,0.15939930967007895,0.224693854623076,0.805443208628244,0.8346253229974161,0.8442590720143804,0.8557465453319851
kappa,0.5235020280382428,0.8060274511841203,0.7230772538892737,0.20767677392662834,0.0,0.7641008251558874,0.7982773508418962,0.8100284255004125,0.824621818255475
f1_micro,0.5774485203329749,0.8408044039995506,0.7762562096100588,0.15939930967007898,0.224693854623076,0.8054432086282439,0.8346253229974161,0.8442590720143806,0.8557465453319851
f1_macro,0.4483581857776103,0.5457690747193226,0.48606271022177006,0.13547657643788447,0.036693881295294,0.49081730278940194,0.5385010262638132,0.5525309589335317,0.5888309349744949
f1_weighted,0.5010643218060516,0.8161668308701117,0.7426546241573019,0.18756680153434435,0.082448896293212,0.7800598651137765,0.8123642095395904,0.822069316068833,0.8408114240415715
recall_micro,0.5774485203329749,0.8408044039995506,0.7762562096100586,0.15939930967007895,0.224693854623076,0.805443208628244,0.8346253229974161,0.8442590720143804,0.8557465453319851
recall_macro,0.5351058371735792,0.5648525987006497,0.5109171088368859,0.12505232785898118,0.1,0.5222790292353823,0.5559518740629685,0.5727158670664668,0.6091019740129935
recall_weighted,0.5774485203329749,0.8408044039995506,0.7762562096100586,0.15939930967007895,0.224693854623076,0.805443208628244,0.8346253229974161,0.8442590720143804,0.8557465453319851
precision_micro,0.5774485203329749,0.8408044039995506,0.7762562096100586,0.15939930967007895,0.224693854623076,0.805443208628244,0.8346253229974161,0.8442590720143804,0.8557465453319851
precision_macro,0.5196497728692433,0.6858606706584784,0.5211412382137216,0.14777153083999955,0.0224693854623076,0.5027893502042873,0.571890840641157,0.598677780813196,0.6858606706584784
precision_weighted,0.5968480476498967,0.8324553787139004,0.7467379416588791,0.1910216466990347,0.050487328305376,0.7883881846794205,0.8168374111698472,0.8296217291047902,0.8501537441331244
gmean,0.7139451572195245,0.2843829857124725,0.006182238819836359,0.04192998371061713,0.0,0.0,0.0,0.0,0.2843829857124725
precision_wheat,0.5592079207920793,0.8642369020501139,0.7826450609431987,0.21816296413600803,0.0,0.8268574332743857,0.8437357021850154,0.8662481980117024,0.9023397761953204
precision_corn,0.740625,0.9503722084367244,0.8640051471512223,0.23519705319751014,0.0,0.9234559489942349,0.9507105797428377,0.9598680473301264,0.9735309687665432
precision_fallow,0.3024691358024691,0.3661971830985915,0.2699572186816452,0.20080381934129662,0.0,0.03125,0.28768303186907834,0.41250000000000003,0.7
precision_misc.,0.6388888888888888,1.0,0.021739130434782608,0.14744195615489705,0.0,0.0,0.0,0.0,1.0
precision_orchards,0.0,0.1923076923076923,0.10273285495046566,0.09003833443546556,0.0,0.0,0.1132478632478632,0.17097701149425287,0.3333333333333333
precision_cereals,0.61875,0.5757575757575758,0.47582612372320215,0.20445398669300638,0.0,0.4378757816257816,0.5067567567567568,0.5886309523809524,0.8333333333333334
precision_perm._meadows,0.3618403606470432,0.7175572519083969,0.6489636318844083,0.1537312091434773,0.0,0.6173919997049874,0.6862047911136772,0.7210124703614572,0.875
precision_protein_crops,0.2573134328358209,0.6042884990253411,0.5199736061486661,0.19694531068845592,0.0,0.5,0.5823832790445169,0.6380295429208472,0.7410071942446043
precision_rapeseed,0.9164301482182275,0.990405117270789,0.9176962761672588,0.20807588530969665,0.1220657276995305,0.9818929899462884,0.9928710049351575,0.9966590833160984,0.9994350282485877
precision_vegetables,0.8009728415079044,0.5974842767295597,0.6078733320523658,0.18926553947445512,0.0,0.5885390440646505,0.6543167128347184,0.7025332692874532,0.8264299802761341
recall_wheat,0.9413333333333334,0.9480259870064968,0.853475436194946,0.25815327574169966,0.0,0.892303848075962,0.9460269865067468,0.9608945527236381,0.9800099950024987
recall_corn,0.948,0.9575,0.8918913043478262,0.19840704269095888,0.0,0.923125,0.95025,0.96275,0.9755
recall_fallow,0.0163333333333333,0.13,0.058478260869565216,0.05955268036898453,0.0,0.0025,0.05,0.08875,0.23
recall_misc.,0.0153333333333333,0.01,0.0002173913043478261,0.0014744195615489714,0.0,0.0,0.0,0.0,0.01
recall_orchards,0.0,0.05,0.06782608695652174,0.08545077968510453,0.0,0.0,0.04,0.11,0.33
recall_cereals,0.231,0.114,0.12330434782608692,0.0812274911222159,0.0,0.056,0.128,0.177,0.286
recall_perm._meadows,0.9096666666666666,0.94,0.8856521739130435,0.231624621354016,0.0,0.9265000000000001,0.945,0.96275,0.981
recall_protein_crops,0.6620583717357911,0.62,0.5230869565217391,0.2279819511459387,0.0,0.4905,0.611,0.656,0.782
recall_rapeseed,0.9686666666666668,0.929,0.8919347826086955,0.1370685395744144,0.078,0.8923749999999999,0.9205000000000001,0.9287500000000001,1.0
recall_vegetables,0.6586666666666666,0.95,0.813304347826087,0.2645862908655882,0.0,0.855,0.916,0.945,0.972
epoch,,26.0,22.5,13.42261772780059,0.0,11.25,22.5,33.75,45.0
trainloss,,0.47809258,0.7146916332608696,0.47964696365700643,0.42733368,0.48396856,0.52717635,0.6139941625,2.6105545
valloss,,0.5612551,0.7349817645652175,0.3769425167000382,0.5161791,0.5538188375,0.57716605,0.68903539,1.9803258
FLOPs_per_epoch,,186905600.0,186905600.0,0.0,186905600.0,186905600.0,186905600.0,186905600.0,186905600.0
cumulative_FLOPs,,5046451200.0,4392281600.0,2508762419.985206,186905600.0,2289593600.0,4392281600.0,6494969600.0,8597657600.0
