epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_fodder,precision_misc.,precision_orchards,precision_protein_crops,precision_vegetables,recall_wheat,recall_fodder,recall_misc.,recall_orchards,recall_protein_crops,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.11346266901822458,0.03791649616814352,0.11346266901822458,0.07053451857475773,0.04211245867631303,0.11346266901822458,0.2275,0.11346266901822458,0.11346266901822458,0.04478248066580909,0.027430529559830566,0.0,0.0,0.0,0.07079646017699115,0.0,0.0,0.1978984238178634,0.0,0.0,0.8,0.0,0.0,0.565,1.8472404,1.4988879,37379328,37379328,20.40905737876892,101830
1,0.29394473838918284,0.0,0.29394473838918284,0.07572315614114795,0.1335505399314779,0.29394473838918284,0.16666666666666666,0.29394473838918284,0.29394473838918284,0.048990789731530475,0.08640350922668513,0.0,0.0,0.29394473838918284,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5113702,1.4857042,37379328,74758656,19.989847660064697,101830
2,0.058788947677836566,0.0,0.058788947677836566,0.018508236165093468,0.006528478365112334,0.058788947677836566,0.16666666666666666,0.058788947677836566,0.058788947677836566,0.009798157946306094,0.0034561403690674054,0.0,0.0,0.0,0.058788947677836566,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4752593,1.4884143,37379328,112137984,21.352874755859375,101830
3,0.11757789535567313,0.0,0.11757789535567313,0.03506926179203928,0.0247402199591106,0.11757789535567313,0.16666666666666666,0.11757789535567313,0.11757789535567313,0.01959631589261219,0.013824561476269622,0.0,0.0,0.0,0.0,0.0,0.0,0.11757789535567313,0.0,0.0,0.0,0.0,0.0,1.0,1.4704082,1.4894872,37379328,149517312,21.89015531539917,101830
4,0.21340388007054673,0.07365498243518975,0.21340388007054673,0.11032393345564995,0.15215749655071875,0.21340388007054673,0.21599999999999997,0.21340388007054673,0.21340388007054673,0.11277032823152285,0.1746070763483137,0.0,0.0,0.5389408099688473,0.0,0.0,0.0,0.13768115942028986,0.0,0.346,0.0,0.0,0.0,0.95,1.5075568,1.4859443,37379328,186896640,20.170828342437744,101830
5,0.08524397413286303,0.02138762797174154,0.08524397413286303,0.06137671344725896,0.036232939223246906,0.08524397413286303,0.20166666666666666,0.08524397413286303,0.08524397413286303,0.053458864030781046,0.03394695333117554,0.0,0.0,0.0,0.06406869220607662,0.0,0.0,0.25668449197860965,0.0,0.0,0.97,0.0,0.0,0.24,1.4628763,1.4861023,37379328,224275968,21.152235746383667,101830
6,0.11757789535567313,0.0,0.11757789535567313,0.03506926179203928,0.0247402199591106,0.11757789535567313,0.16666666666666666,0.11757789535567313,0.11757789535567313,0.01959631589261219,0.013824561476269622,0.0,0.0,0.0,0.0,0.0,0.0,0.11757789535567313,0.0,0.0,0.0,0.0,0.0,1.0,1.516837,1.485446,37379328,261655296,20.529078006744385,101830
7,0.059964726631393295,0.0009557388592327243,0.059964726631393295,0.01985683355147134,0.008877925412638883,0.059964726631393295,0.16733333333333333,0.059964726631393295,0.059964726631393295,0.17647635864233865,0.29740494719894367,0.0,0.0,1.0,0.05885815185403178,0.0,0.0,0.0,0.0,0.004,1.0,0.0,0.0,0.0,1.4817245,1.4845161,37379328,299034624,22.099154472351074,101830
8,0.13462669018224574,0.033067760931546175,0.13462669018224574,0.06674072056030056,0.03844917085147854,0.13462669018224574,0.21916666666666665,0.13462669018224574,0.13462669018224574,0.03990063702660523,0.022642194736833196,0.0,0.0,0.0,0.09366391184573003,0.0,0.0,0.14573991031390135,0.0,0.0,0.34,0.0,0.0,0.975,1.4694977,1.4829099,37379328,336413952,21.087098598480225,101830
9,0.08465608465608465,0.020432732761499706,0.08465608465608465,0.046158020809940865,0.05483161844665949,0.08465608465608465,0.18000000000000002,0.08465608465608465,0.08465608465608465,0.16304911795226565,0.2734723160181479,0.0,0.0,0.9183673469387755,0.0599273607748184,0.0,0.0,0.0,0.0,0.09,0.99,0.0,0.0,0.0,1.4773521,1.4787674,37379328,373793280,20.926656007766724,101830
10,0.3203997648442093,0.07356651422072358,0.3203997648442093,0.14484541819810662,0.18376101083159055,0.3203997648442093,0.21766666666666665,0.3203997648442093,0.3203997648442093,0.13438376229336682,0.14777319792315957,0.0,0.0,0.3342372881355932,0.1016949152542373,0.0,0.0,0.37037037037037035,0.0,0.986,0.12,0.0,0.0,0.2,1.5289586,1.4727437,37379328,411172608,21.02314782142639,101830
11,0.2915931804820694,0.16413662664683681,0.2915931804820694,0.18604844715429766,0.23484208992273287,0.2915931804820694,0.29333333333333333,0.2915931804820694,0.2915931804820694,0.16676852291216426,0.213334445978101,0.0,0.0,0.569620253164557,0.08126410835214447,0.0,0.0,0.34972677595628415,0.0,0.72,0.72,0.0,0.0,0.32,1.4972696,1.4377621,37379328,448551936,21.614108085632324,101830
12,0.38154027042915933,0.2248760179866507,0.3815402704291593,0.2563265373686954,0.28258203841687085,0.38154027042915933,0.3428333333333333,0.38154027042915933,0.38154027042915933,0.20634687461181597,0.22546863516201274,0.0,0.2796934865900383,0.4842696629213483,0.09375,0.0,0.0,0.3803680981595092,0.365,0.862,0.21,0.0,0.0,0.62,1.376258,1.3139808,37379328,485931264,21.172669410705566,101830
13,0.31804820693709585,0.19481359997682168,0.31804820693709585,0.23803215096743294,0.2715114028711175,0.31804820693709585,0.33715934797072517,0.31804820693709585,0.31804820693709585,0.2585390286809727,0.3506677023471365,0.0,0.17704918032786884,0.7108753315649867,0.1415525114155251,0.0,0.2894736842105263,0.23228346456692914,0.27,0.536,0.31,0.0,0.021956087824351298,0.885,1.2951857,1.2355828,37379328,523310592,21.08593487739563,101830
14,0.3427395649617872,0.22078972502746275,0.3427395649617872,0.28412540526124114,0.31551545791976837,0.3427395649617872,0.3688007318695941,0.3427395649617872,0.3427395649617872,0.32711422390032624,0.4306416972834424,0.0,0.27472527472527475,0.7551020408163265,0.0,0.32717678100263853,0.3769230769230769,0.22875816993464052,0.25,0.37,0.0,0.62,0.09780439121756487,0.875,1.2515683,1.1629544,37379328,560689920,19.86252737045288,101830
15,0.29747207524985303,0.19336379671939874,0.29747207524985303,0.27883086485305036,0.23817864886153822,0.29747207524985303,0.39482667997338655,0.29747207524985303,0.29747207524985303,0.33509331759618366,0.39932020614168057,0.24202721640306862,0.28690807799442897,0.7068965517241379,0.18548387096774194,0.23500810372771475,0.2777777777777778,0.3184855233853007,0.515,0.164,0.23,0.725,0.01996007984031936,0.715,1.1621087,1.089539,37379328,598069248,20.414524793624878,101830
16,0.3662551440329218,0.2551743803234021,0.3662551440329218,0.3302623099830918,0.3266360728421382,0.3662551440329218,0.42032934131736527,0.3662551440329218,0.3662551440329218,0.39139749657569184,0.4800322191350024,0.2563441183604612,0.2646048109965636,0.7264957264957265,0.2159090909090909,0.3862433862433862,0.5,0.25513196480938416,0.385,0.51,0.38,0.365,0.011976047904191617,0.87,1.0855169,1.0567722,37379328,635448576,19.794106006622314,101830
17,0.3403880070546737,0.2375296485086157,0.3403880070546737,0.3189069805615833,0.29540972989833125,0.3403880070546737,0.42415801729873587,0.3403880070546737,0.3403880070546737,0.4120823272439263,0.5172457968072328,0.28279819015378604,0.30158730158730157,0.8212290502793296,0.24074074074074073,0.3105134474327628,0.5416666666666666,0.25675675675675674,0.475,0.294,0.26,0.635,0.02594810379241517,0.855,1.0101299,1.0386856,37379328,672827904,19.80210566520691,101830
18,0.3968253968253968,0.2825823690214375,0.3968253968253968,0.37972390974179077,0.40215656867111277,0.3968253968253968,0.44653293413173656,0.3968253968253968,0.3968253968253968,0.44708213830465526,0.5551343005592563,0.41528947844327546,0.48333333333333334,0.8493150684931506,0.19377162629757785,0.2686084142394822,0.5726495726495726,0.3148148148148148,0.29,0.248,0.56,0.415,0.40119760479041916,0.765,0.9595309,1.0110414,37379328,710207232,20.947413206100464,101830
19,0.3880070546737213,0.27939010638180983,0.3880070546737213,0.35128079623150693,0.3536549435696981,0.3880070546737213,0.43899135063206923,0.3880070546737213,0.3880070546737213,0.4425020876168644,0.5497505904638664,0.29909797897391016,0.30364372469635625,0.768595041322314,0.22105263157894736,0.46308724832214765,0.65,0.24863387978142076,0.375,0.558,0.42,0.345,0.02594810379241517,0.91,0.91719055,1.0195899,37379328,747586560,23.060428857803345,101830
