epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_orchards,precision_perm._meadows,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_wheat,recall_corn,recall_orchards,recall_perm._meadows,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
13,0.8468927661242893,0.7743812316728829,0.8468927661242893,0.6162425922201384,0.8418910265835148,0.8468927661242893,0.6536527807524809,0.8468927661242893,0.8468927661242893,0.5985974698036971,0.8463951124229404,0.0,0.8979057591623036,0.9451453647833242,0.49049429657794674,0.0,0.6308724832214765,0.36764705882352944,0.8581173260572987,0.686,0.8610694652673663,0.645,0.0,0.94,0.5,0.9435,0.55995095,0.4889736,106799360,1495191040,62.31999850273132,101895
14,0.8861007645559694,0.8301295395946239,0.8861007645559694,0.6493128165733361,0.8776745862056629,0.8861007645559694,0.6546480331262939,0.8861007645559694,0.8861007645559694,0.6463414083582152,0.8711842092609415,0.0,0.9166666666666666,0.9331322272498743,0.5377777777777778,0.0,0.8714285714285714,0.36538461538461536,0.9,0.792,0.927536231884058,0.605,0.0,0.915,0.38,0.963,0.45274055,0.4007681,106799360,1601990400,62.20139789581299,101895
15,0.8884532444618702,0.8356116303819004,0.8884532444618702,0.6508383305973752,0.8841774476145491,0.8884532444618702,0.6758611408581424,0.8884532444618702,0.8884532444618702,0.6409746514788213,0.8847430682469567,0.0,0.9414519906323185,0.930083702609552,0.4460227272727273,0.0,0.8632075471698113,0.3645833333333333,0.941473259334006,0.804,0.9440279860069966,0.785,0.0,0.915,0.35,0.933,0.40227953,0.38671556,106799360,1708789760,61.00311279296875,101895
16,0.8853166045873359,0.8311659082079037,0.8853166045873359,0.6503506244541667,0.883638937771854,0.8853166045873359,0.6860052116798743,0.8853166045873359,0.8853166045873359,0.6366372481704216,0.8874040190371054,0.0,0.9601990049751243,0.955200823892894,0.4641509433962264,0.0,0.8604651162790697,0.2961165048543689,0.920328343795268,0.772,0.9270364817591205,0.615,0.0,0.925,0.61,0.953,0.36527753,0.37632415,106799360,1815589120,61.81176972389221,101895
17,0.8896294844148206,0.8393024970404956,0.8896294844148206,0.6389122363058845,0.8846461299886332,0.8896294844148206,0.6802187477689726,0.8896294844148206,0.8896294844148206,0.7672687393290658,0.9064123520445043,0.3901895937691694,0.8481012658227848,0.95470737913486,0.4368131868131868,1.0,0.714828897338403,0.46,0.9564304461942257,0.938,0.9375312343828086,0.795,0.01,0.94,0.23,0.911,0.33805728,0.4027844,106799360,1922388480,61.04080414772034,101895
18,0.8980592040776318,0.8503295518107787,0.8980592040776317,0.6618715314012438,0.8951352589083452,0.8980592040776318,0.6937179624473477,0.8980592040776318,0.8980592040776318,0.641972002048394,0.8953209462573933,0.0,0.9347826086956522,0.94994994994995,0.45714285714285713,0.0,0.8837209302325582,0.3188405797101449,0.9493670886075949,0.86,0.9485257371314343,0.72,0.0,0.95,0.44,0.9375,0.32949597,0.36544833,106799360,2029187840,58.84972143173218,101895
19,0.9066849637326014,0.8629750393257228,0.9066849637326014,0.677168507032598,0.9018558215956048,0.9066849637326014,0.7020756050546154,0.9066849637326014,0.9066849637326014,0.7216606211892235,0.9079920514156454,0.4863742873006741,0.9262948207171314,0.9676425269645609,0.4919093851132686,0.5,0.8217391304347826,0.4044943820224719,0.9395441030723488,0.93,0.9415292353823088,0.76,0.03,0.945,0.36,0.948,0.32625473,0.35466033,106799360,2135987200,57.5404326915741,101895
20,0.896686924132523,0.8470281293108619,0.896686924132523,0.672969862349113,0.8912878808783332,0.896686924132523,0.6916493538944813,0.896686924132523,0.896686924132523,0.8014943854678976,0.9087553732840492,0.4194502077641747,0.9529914529914529,0.9784830554061323,0.5544554455445545,1.0,0.9052132701421801,0.3312883435582822,0.888029130632681,0.892,0.9090454772613693,0.56,0.01,0.955,0.54,0.9755,0.28496176,0.35563767,106799360,2242786560,58.320157527923584,101895
21,0.9072730837090767,0.8634149497769203,0.9072730837090766,0.6775539106849932,0.9039420295627829,0.9072730837090767,0.7025743913757407,0.9072730837090767,0.9072730837090767,0.6657227264370125,0.9044328890308818,0.0,0.9661399548532731,0.9518610421836228,0.4578313253012048,0.0,0.9639175257731959,0.368,0.9523092369477911,0.856,0.9585207396301849,0.76,0.0,0.935,0.46,0.9485,0.31298122,0.33562982,106799360,2349585920,58.44586205482483,101895
22,0.8925700842971966,0.839527563665756,0.8925700842971965,0.6582999272066932,0.8849906468846865,0.8925700842971966,0.6605015706432498,0.8925700842971966,0.8925700842971966,0.6692714425722068,0.8844806268763794,0.0,0.9712793733681462,0.885119855269109,0.4916387959866221,0.0,0.9836956521739131,0.39285714285714285,0.9603092783505155,0.744,0.9780109945027486,0.735,0.0,0.905,0.33,0.9315,0.3036434,0.36598036,106799360,2456385280,57.71617007255554,101895
23,0.9076651636933935,0.8641756337779026,0.9076651636933935,0.6741759024360718,0.9002386663705048,0.9076651636933935,0.696576783037053,0.9076651636933935,0.9076651636933935,0.7989832905715643,0.9148756791726438,0.41182173273876277,0.8754578754578755,0.9772967265047519,0.5234657039711191,1.0,0.8414096916299559,0.4473684210526316,0.9278846153846154,0.956,0.9250374812593704,0.725,0.01,0.955,0.34,0.965,0.35645723,0.35386685,106799360,2563184640,60.867785692214966,101895
24,0.9139384434424622,0.8729396818696089,0.9139384434424622,0.6796884770977484,0.9083809769270693,0.9139384434424622,0.7040746055543657,0.9139384434424622,0.9139384434424622,0.6614699312521938,0.904016740053752,0.0,0.9624217118997912,0.9651691065118627,0.5347826086956522,0.0,0.8853211009174312,0.3422818791946309,0.9403131115459883,0.922,0.9555222388805598,0.615,0.0,0.965,0.51,0.961,0.27047533,0.31669965,106799360,2669984000,63.39841389656067,101895
