param,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fodder,precision_orchards,precision_protein_crops,precision_temp._meadows,precision_vegetables,recall_fodder,recall_orchards,recall_protein_crops,recall_temp._meadows,recall_vegetables
1.25,0.5682432432432433,0.4067423782010159,0.5682432432432433,0.3944860311119518,0.6139259405833883,0.5682432432432433,0.5276666666666667,0.5682432432432433,0.5682432432432433,0.44772791198808426,0.7587852692158255,0.4023954608119378,0.37541041881474935,0.12637610976594027,0.10475932434093929,0.6675006707570926,0.9645930362616996,0.195,0.475,0.7083333333333334,0.6333333333333334,0.6266666666666667
1.5,0.5961711711711711,0.4224311883867493,0.5961711711711711,0.3941726559899621,0.6304308905195237,0.5961711711711711,0.5123333333333334,0.5961711711711711,0.5961711711711711,0.45336397798907946,0.7657076612546262,0.4114707044696404,0.3603004542587807,0.12866778201195897,0.1006707930084271,0.7243274593217732,0.9528534013444574,0.32666666666666666,0.3833333333333333,0.6333333333333333,0.49583333333333324,0.7225
2.0,0.5603603603603603,0.39375166524675154,0.5603603603603603,0.4067239769427708,0.626494733678493,0.5603603603603603,0.53,0.5603603603603603,0.5603603603603603,0.4542385943405337,0.7687112019119994,0.49947388487579414,0.37752573293185343,0.12354497545362757,0.10108845787295521,0.705062373612652,0.9639714318315804,0.3816666666666667,0.5916666666666667,0.5666666666666667,0.4533333333333333,0.6566666666666667
3.0,0.6198198198198199,0.44468307916173205,0.6198198198198199,0.4017455489763685,0.646321851073627,0.6198198198198199,0.5255833333333334,0.6198198198198199,0.6198198198198199,0.45504122829584315,0.7537367443983962,0.4125547706523095,0.3835705822115122,0.11632942519329217,0.13868941953538677,0.7016946503826074,0.9349220641564173,0.18,0.6333333333333334,0.5166666666666667,0.5075000000000001,0.7904166666666667
4.0,0.565990990990991,0.38764887714683904,0.565990990990991,0.367846969388426,0.5970578106016136,0.565990990990991,0.50275,0.565990990990991,0.565990990990991,0.40601881478651614,0.7169111598523737,0.29525143096886747,0.27238395180171426,0.11036419166500466,0.09371470444723476,0.6112910260955513,0.9423401999230754,0.38333333333333336,0.5833333333333333,0.5,0.3,0.7470833333333334
