epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fallow,precision_misc.,precision_orchards,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_barley,recall_wheat,recall_fallow,recall_misc.,recall_orchards,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
10,0.5163888888888889,0.4463104145869591,0.5163888888888889,0.39359889974542606,0.5796392584297893,0.5163888888888889,0.4740555555555555,0.5163888888888889,0.5163888888888889,0.5303629050460671,0.8119309102962957,0.3492321878372102,0.16470588235294117,0.9436795994993742,0.09813084112149532,0.6666666666666666,0.07845868152274837,0.8592233009708737,0.1342828077314344,0.9512855209742895,0.8768328445747801,0.28,0.754,0.105,0.056,0.845,0.2655,0.66,0.703,0.598,0.914796,0.96039784,154862784,1703490624,119.67636919021606,102025
11,0.5304166666666666,0.45827195000912413,0.5304166666666666,0.37957128843863375,0.5399667187400372,0.5304166666666666,0.4660555555555555,0.5304166666666666,0.5304166666666666,0.5080365662981351,0.7813483659465856,0.3405371206216055,0.12962962962962962,0.8805513016845329,0.0572737686139748,0.6904761904761905,0.0921595598349381,0.8774703557312253,0.15398886827458255,0.7921207041072925,0.8986587183308494,0.28,0.8625,0.25,0.058,0.67,0.111,0.415,0.945,0.603,0.7585907,0.98022616,154862784,1858353408,114.27808833122253,102025
12,0.5301388888888889,0.45635696494094335,0.5301388888888889,0.3845832037307027,0.5462675751997066,0.5301388888888889,0.4748888888888889,0.5301388888888889,0.5301388888888889,0.5070875736918438,0.7907428255336614,0.3302404907881786,0.15555555555555556,0.8583372039015328,0.05084745762711865,0.5555555555555556,0.08241494968854815,0.9163879598662207,0.15097159940209268,0.893491124260355,0.9002267573696145,0.35,0.924,0.045,0.15,0.86,0.137,0.505,0.906,0.397,0.8547865,0.9485036,154862784,2013216192,131.1272759437561,102025
13,0.5406944444444445,0.4709176236356526,0.5406944444444445,0.4109565490857551,0.5676524041550343,0.5406944444444445,0.4997777777777778,0.5406944444444445,0.5406944444444445,0.4972031246098784,0.7860855064328112,0.42117015428893395,0.10975609756097561,0.8825622775800712,0.06298342541436464,0.43014705882352944,0.11049210770659239,0.879746835443038,0.1558589306029579,0.9334027055150884,0.9098786828422877,0.27,0.868,0.285,0.234,0.595,0.139,0.685,0.897,0.525,0.75994027,0.93130815,154862784,2168078976,117.12290620803833,102025
14,0.4483333333333333,0.3800745686291511,0.4483333333333333,0.32636279975559285,0.4674097301244835,0.4483333333333333,0.3993333333333333,0.4483333333333333,0.4483333333333333,0.4753539961186078,0.7552271592287729,0.25467437446128716,0.046798029556650245,0.9149709302325582,0.046762589928057555,0.6666666666666666,0.12325581395348838,0.8061224489795918,0.06272189349112427,0.7659744408945687,0.8449131513647643,0.19,0.6295,0.26,0.04,0.265,0.0395,0.53,0.959,0.681,0.8348779,1.2249054,154862784,2322941760,116.68220257759094,102025
15,0.5329166666666667,0.4631333186997386,0.5329166666666667,0.40082270457166175,0.5493438153203538,0.5329166666666667,0.5017222222222222,0.5329166666666667,0.5329166666666667,0.5259118321808067,0.8090773352427474,0.37379885458487516,0.12024048096192384,0.8905642023346303,0.08253968253968254,0.5694444444444444,0.08099401748734468,0.9186602870813397,0.241635687732342,0.9169139465875371,0.9122137404580153,0.6,0.9155,0.13,0.164,0.88,0.096,0.325,0.927,0.478,1.1333193,0.91639715,154862784,2477804544,116.56083178520203,102025
16,0.62375,0.5575557682797919,0.62375,0.46497690558465177,0.6637465368073249,0.62375,0.5534444444444444,0.62375,0.62375,0.5243711408339031,0.8013388904694054,0.48552607925789565,0.14206128133704735,0.931323283082077,0.09261939218523878,0.5765765765765766,0.12746113989637306,0.876803551609323,0.20702402957486138,0.8664259927797834,0.8990450204638472,0.51,0.834,0.32,0.128,0.615,0.395,0.56,0.96,0.659,0.8282864,0.8907417,154862784,2632667328,112.52669930458069,102025
17,0.5677777777777778,0.4999944211745435,0.5677777777777778,0.4294755617516579,0.6007285288300959,0.5677777777777778,0.5134444444444445,0.5677777777777778,0.5677777777777778,0.5286938324286202,0.8107522795035801,0.41993438218215257,0.28431372549019607,0.9354666666666667,0.09023941068139964,0.5039370078740157,0.09710610932475884,0.9188034188034188,0.1467136150234742,0.8743218806509946,0.9073426573426573,0.29,0.877,0.245,0.128,0.755,0.215,0.625,0.967,0.519,0.8321083,0.9083023,154862784,2787530112,113.26453971862793,102025
18,0.6036111111111111,0.5371620860681031,0.6036111111111111,0.46338266122936594,0.6418861353419667,0.6036111111111111,0.5366666666666666,0.6036111111111111,0.6036111111111111,0.5548634233894802,0.8221926717297794,0.41696272175903126,0.2275132275132275,0.9250749250749251,0.12352941176470589,0.5825242718446602,0.0841254752851711,0.889267461669506,0.28272251308900526,0.9856801909307876,0.8933333333333333,0.43,0.926,0.105,0.12,0.885,0.261,0.54,0.826,0.737,0.7177248,0.84075844,154862784,2942392896,115.4854884147644,102025
19,0.60625,0.5431758365709989,0.60625,0.4883499208570966,0.6391472800769913,0.60625,0.5532222222222223,0.60625,0.60625,0.6051069033115605,0.8335936153121332,0.42572062103373,0.673469387755102,0.9573304157549234,0.07717041800643087,0.6126126126126126,0.08449351896303409,0.8962655601659751,0.31990521327014215,0.9657676348547718,0.8589473684210527,0.33,0.875,0.12,0.136,0.88,0.216,0.675,0.931,0.816,0.77153075,0.7893393,154862784,3097255680,113.82300567626953,102025
