param,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_wheat,recall_corn,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables
1.25,0.44725000000000004,0.38583333333333336,0.44725000000000004,0.4245293872071397,0.4245293872071397,0.44725000000000004,0.44725000000000004,0.44725000000000004,0.44725000000000004,0.4823719023681825,0.4823719023681825,0.2930445603418267,0.5586038798782427,0.5941093725304252,0.27895898969757393,0.6144594594594595,0.3134698979564149,0.2704590543925423,0.4486841642552849,0.420957042957043,0.6470003473490464,0.6770168152057916,0.5925,0.7075,0.31249999999999994,0.18000000000000002,0.34750000000000003,0.21749999999999997,0.475,0.2575,0.845,0.5375
1.5,0.3885,0.3205555555555556,0.3885,0.34371299054523874,0.34371299054523863,0.3885,0.3885,0.3885,0.3885,0.40692885907557175,0.40692885907557175,0.23071150267261747,0.405309037836542,0.5606537743302449,0.29170560124202505,0.6408906339138898,0.28016733606918054,0.2379403374252927,0.4417222396348176,0.2167494958225295,0.42048130151271856,0.5736688329684771,0.5575,0.395,0.1375,0.19,0.485,0.07750000000000001,0.47000000000000003,0.12,0.8625,0.59
2.0,0.35624999999999996,0.2847222222222222,0.35624999999999996,0.30968145518036094,0.3096814551803609,0.35624999999999996,0.35625,0.35624999999999996,0.35624999999999996,0.39156513953712874,0.39156513953712874,0.1345091210469763,0.28490383284903836,0.45581385954856846,0.2360223978919631,0.5529824561403509,0.4284210526315789,0.16163565352342707,0.4786107578425434,0.273171114599686,0.44457946774061885,0.599510802603512,0.3125,0.485,0.195,0.06000000000000001,0.335,0.075,0.4625,0.225,0.8375,0.575
3.0,0.33325000000000005,0.2591666666666666,0.33325000000000005,0.2730180029793514,0.2730180029793514,0.33325000000000005,0.33325,0.33325000000000005,0.33325000000000005,0.3900992671245499,0.39009926712454995,0.1272524441997559,0.47091706539074957,0.36283816912547107,0.3180567448505415,0.6722222222222222,0.3271959980318189,0.3244766505636071,0.45984727289534416,0.11180851063829786,0.3089940837615469,0.5446359537658999,0.2,0.32,0.16,0.049999999999999996,0.40499999999999997,0.11499999999999999,0.4574999999999999,0.0675,0.9125,0.645
4.0,0.34375,0.27083333333333337,0.34375,0.298258843854269,0.298258843854269,0.34375,0.34375,0.34375,0.34375,0.3619334720188404,0.36193347201884046,0.08805770355145534,0.2815510489020423,0.2964012310294219,0.1745586297760211,0.5174884944115713,0.24269991399254282,0.2239871307397002,0.45253259321197337,0.29615384615384616,0.6050524873064823,0.5289093446648032,0.3975,0.37500000000000006,0.165,0.16,0.40249999999999997,0.2775,0.425,0.0225,0.6025,0.61
