Dataset_ID,Method,Overall_Accuracy_gain,Macro_F1_gain,Macro_F1_Difference_gain,GMean_gain,Macro_F1_Small_Parcels_gain,Macro_F1_Large_Parcels_gain
1,RO,0.04051393637964973,0.05504139713362732,0.028823557234646496,0.03983167970616075,0.0748236174774588,0.046000060242812335
1,WCE,0.0007253134390218241,0.009346902160048187,0.014619795354144205,-0.0061250413900573175,0.02230423617307975,0.00768444081893549
1,FL,0.029634234794321812,0.037194730455447855,0.029295879462121505,0.024984011137392792,0.05585655151067581,0.02656067204855428
1,DOWCE,0.009325458501709627,0.01765661250597106,0.03544576444115691,0.00021058695396269922,0.035544560276058235,9.879583490135513e-05
1,RO-FL,0.019272614236866548,0.026923547499109746,0.0100910353636334,0.012715082220581486,0.03714602700741354,0.027054991643780113
1,RO-DOWCE,0.030566780644492808,0.03414935212724035,0.007117464703935483,0.019301559744928865,0.04282314138995269,0.03570567668601721
1,RO-R,0.020101543881463013,0.025135773589454402,0.0183634811613832,0.015548218003915926,0.039815614529747245,0.021452133368364046
2,RO,-0.07875729692292477,-0.02275822930221527,-0.006648930911306708,0.14500383992943078,-0.04094858393082662,-0.03429965301951987
2,WCE,-0.04511724547343432,0.002801335098158275,-0.016397669343081303,0.15383641117784097,-0.02295867394485701,-0.006561004601775666
2,FL,-0.08865142970218665,-0.04356976808178603,-0.0006572516640871995,0.08955153567872298,-0.05338923684850211,-0.05273198518441491
2,DOWCE,-0.06025526862570496,-0.011609461183030079,0.006686751065792904,0.12522031919578092,-0.02070245233851753,-0.02738920340431039
2,RO-FL,-0.051152666468784025,-0.0013521883738284446,0.009097137661892601,0.15465275829736935,-0.006675428941528616,-0.01577256660342119
2,RO-DOWCE,-0.040467003067181206,0.008945840984089903,0.0011335327880968998,0.1556073998198858,-0.004531655140940116,-0.00566518792903703
2,RO-R,-0.026318393192836687,0.020246250829060952,0.0021180356611233964,0.1723843754095843,0.009707910612001769,0.0075898749508784835
3,RO,0.06576638437476168,0.05733597881541164,-0.0183954521658396,0.04834410429995972,0.027514375088824372,0.04590982725466386
3,WCE,0.08186465247577634,0.07985803156437032,-0.006207165508605811,0.06824639610448713,0.058084908029801596,0.06429207353840738
3,FL,0.04638742656595718,0.03169696089167118,0.026119028950873202,0.0032159919831579176,0.03357144645620541,0.0074524175053320985
3,DOWCE,0.0648508430609599,0.04675359049416905,0.017585999211541692,0.008002404079694991,0.039287433408529415,0.021701434196987668
3,RO-FL,0.08896009765774016,0.07716946120033874,0.01306498780296489,0.047247602602166316,0.0644640246033184,0.051399036800353404
3,RO-DOWCE,0.10009918364232862,0.08625372716558688,-0.010685173118039293,0.044962739074289604,0.05835264648601529,0.06903781960405453
3,RO-R,0.07598992904554824,0.05928625241517149,0.0267799703853486,0.015330783912109847,0.05607103022499321,0.02929105983964453
4,RO,0.04545947117468574,0.056251339995015304,-0.004478145565053687,0.0700491970404391,0.05478996905700073,0.05926811462205439
4,WCE,0.013545730385782329,0.031111732653335777,0.016202587086248207,0.05288254228517986,0.04461570885486621,0.028413121768617988
4,FL,0.044213263979193784,0.053331608650522444,0.027538328314130597,0.05583566911563864,0.07645238307274638,0.048914054758615766
4,DOWCE,0.05591677503250969,0.06487529070745957,0.016814250889158097,0.0637015715941387,0.07854207261072643,0.06172782172156832
4,RO-FL,0.030396618985695678,0.04303280903805162,0.021517151509807403,0.06502057261824334,0.06319349591600698,0.041676344406199495
4,RO-DOWCE,0.05141959254442996,0.06618892751727301,0.0110640489666443,0.0889643188700403,0.07791895555178319,0.06685490658513882
4,RO-R,0.030830082358040745,0.046333107934442896,0.0320361292451625,0.06832219068122025,0.07502660882887191,0.042990479583709384
5,RO,0.050609724184853766,0.07155223042260384,0.01719176964102101,0.17385612983281018,0.08618303181979137,0.06899126217877039
5,WCE,0.006960799706913656,0.02464426920601992,0.007847065968727002,0.11209963111177912,0.030538494102752445,0.02269142813402547
5,FL,0.03684513529073119,0.05537795122091438,0.009190959949368221,0.13951409473158682,0.05983066779311097,0.05063970784374272
5,DOWCE,-0.030774061862144708,-0.005450794565479922,0.026110009018813815,0.100401104455622,0.011177385483066904,-0.01493262353574687
5,RO-FL,0.030407703982833545,0.0510535169629025,0.014013811291482214,0.15869352320351038,0.06182476285515315,0.04781095156367099
5,RO-DOWCE,0.04500968231538183,0.06272856186694464,0.02070996725125311,0.15707332608305857,0.08089419100787687,0.0601842237566238
5,RO-R,0.03323389333752025,0.055488314560678154,0.033782327714216506,0.170574890685256,0.0818375663255031,0.04805523861128658
6,RO,0.05287917854073376,0.08960259249071922,0.0050269040833277046,0.28943015027286273,0.09218826183024048,0.0871613577469128
6,WCE,0.03700185461618499,0.06868549884996067,0.0034310068936568017,0.2405018821316433,0.0665596782626966,0.06312867136903988
6,FL,0.0026688379246393445,0.027251360733612895,-0.0005793882395715988,0.1744230909344608,0.02129836200757712,0.021877750247148775
6,DOWCE,0.025647984801194235,0.06256254780150794,0.021765985347091094,0.23158270401657083,0.07390719236187349,0.05214120701478242
6,RO-FL,0.04939611887637407,0.08575444788032416,0.0156292289796027,0.2820174283761904,0.0956334192467817,0.08000419026717909
6,RO-DOWCE,0.0600262360338355,0.10183431393340647,0.0198463711400286,0.30825711732658195,0.1126583188069541,0.09281194766692558
6,RO-R,0.04184195051341211,0.08015684104149834,-0.004758848029681906,0.28023230476424993,0.07338554522421359,0.07814439325389555
7,RO,0.08702752220496268,0.1645011966809154,0.0020822215278334943,0.609298013819469,0.16019780017399532,0.15811557864616183
7,WCE,0.06775002987214718,0.15053075173895353,0.017088456220549414,0.5842154390156342,0.1532826187428053,0.13619416252225586
7,FL,0.09204604293623286,0.16364699777189345,0.01925789866345301,0.5777383407785045,0.17332667250424083,0.15406877384078782
7,DOWCE,0.04202015374198431,0.12190943953651173,0.032328613559650915,0.5440389569689386,0.13926283743657253,0.10693422387692159
7,RO-FL,0.09272314493965828,0.16891577957583498,0.020234348400275992,0.6060185592479517,0.17902660667018094,0.1587922582699049
7,RO-DOWCE,0.09973314215159113,0.17938143495194575,0.027426099272198995,0.6253023170172382,0.1939502878142753,0.16652418854207623
7,RO-R,0.1028398454614251,0.17719224704393405,-0.001634040351285393,0.6162320609240173,0.17292915842396223,0.17456319877524756
8,RO,0.03465328921620947,0.07799175299234434,-0.016381951054427107,0.3830507843599801,0.06291238388635573,0.07929433494078286
8,WCE,-0.014515956879069258,0.03190318709374512,-0.011945564278738302,0.3425795263601845,0.020250077383455523,0.03219564166219391
8,FL,-0.019141139217988323,0.029804774638247433,9.038343766468171e-05,0.32404965138859765,0.028969206050764806,0.028878822613100152
8,DOWCE,0.00999750951720213,0.05375903850787661,0.00656317610123508,0.351907966698947,0.05468037334331183,0.04811719724207675
8,RO-FL,0.0464652933432953,0.09310059003606558,-0.013363508391075501,0.3946111593812942,0.07936309078176479,0.09272659917284032
8,RO-DOWCE,0.04422385882520374,0.08873166597829202,-0.02112154138734121,0.393732726562934,0.06875809657197851,0.08987963795931986
8,RO-R,0.05831287579606503,0.11006091744896279,-0.018049810959014922,0.41577191330688057,0.0917354142480285,0.10978522520704348
9,RO,0.05127463271932353,0.08596383566119714,-0.021407567255362303,0.28498572999569943,0.06115808162602826,0.08256564888139051
9,WCE,0.022856591763911638,0.06445580482882574,0.022650133480095896,0.265983155150146,0.07005724847287237,0.0474071149927765
9,FL,0.059311409007618776,0.0988779861745791,0.009330259960320275,0.2987702258930122,0.09477273153630611,0.08544247157598572
9,DOWCE,0.03963738065387201,0.07915726746030483,0.013338507231625774,0.280478161725952,0.0797599310715631,0.06642142383993721
9,RO-FL,0.036776288295238935,0.070439584309823,-0.002066491464988107,0.26435948585867347,0.0574897207822887,0.05955621224727681
9,RO-DOWCE,0.06728389108560773,0.11313631758225173,0.0036085967684841846,0.33319817672080027,0.10374857677928356,0.10013998001079938
9,RO-R,0.03131128041919817,0.06721228803340862,-0.014239613161375425,0.271246713796011,0.04740076734270848,0.061640380504083825
