Dataset_ID,Method,Overall_Accuracy,Macro_F1,GMean,Macro_F1_Small_Parcels,Macro_F1_Large_Parcels,Macro_F1_Difference
1,baseline,0.730183400683867,0.7147010885745845,0.7492462638822964,0.5268361124670964,0.7545452050629737,-0.2277090925958773
1,RO,0.7706973370635167,0.7697424857082118,0.7890779435884572,0.6016597299445552,0.8005452653057861,-0.1988855353612308
1,WCE,0.7309087141228888,0.7240479907346327,0.7431212224922391,0.5491403486401761,0.7622296458819092,-0.2130892972417331
1,FL,0.7598176354781888,0.7518958190300323,0.7742302750196892,0.5826926639777722,0.781105877111528,-0.1984132131337558
1,DOWCE,0.7395088591855766,0.7323577010805555,0.7494568508362591,0.5623806727431546,0.7546440008978751,-0.1922633281547204
1,RO-FL,0.7494560149207335,0.7416246360736942,0.7619613461028779,0.5639821394745099,0.7816001967067538,-0.2176180572322439
1,RO-DOWCE,0.7607501813283598,0.7488504407018248,0.7685478236272253,0.5696592538570491,0.7902508817489909,-0.2205916278919418
1,RO-R,0.75028494456533,0.7398368621640389,0.7647944818862124,0.5666517269968436,0.7759973384313378,-0.2093456114344941
2,baseline,0.6453942811912536,0.5510851500121009,0.4765865431811893,0.463068206461676,0.5622181694035969,-0.0991499629419209
2,RO,0.5666369842683289,0.5283269207098856,0.6215903831106201,0.4221196225308494,0.527918516384077,-0.1057988938532276
2,WCE,0.6002770357178193,0.5538864851102592,0.6304229543590303,0.440109532516819,0.5556571648018213,-0.1155476322850022
2,FL,0.556742851489067,0.5075153819303149,0.5661380788599123,0.4096789696131739,0.509486184219182,-0.0998072146060081
2,DOWCE,0.5851390125655487,0.5394756888290708,0.6018068623769702,0.4423657541231585,0.5348289659992865,-0.092463211876128
2,RO-FL,0.5942416147224696,0.5497329616382725,0.6312393014785587,0.4563927775201474,0.5464456028001757,-0.0900528252800283
2,RO-DOWCE,0.6049272781240724,0.5600309909961908,0.6321939430010751,0.4585365513207359,0.5565529814745599,-0.098016430153824
2,RO-R,0.619075887998417,0.5713314008411619,0.6489709185907736,0.4727761170736778,0.5698080443544754,-0.0970319272807975
3,baseline,0.6389715419241626,0.5666341427476456,0.6150252643650115,0.3903215940653647,0.6063265924724802,-0.2160049984071154
3,RO,0.7047379262989243,0.6239701215630572,0.6633693686649712,0.4178359691541891,0.6522364197271441,-0.234400450572955
3,WCE,0.720836194399939,0.6464921743120159,0.6832716604694986,0.4484065020951663,0.6706186660108876,-0.2222121639157212
