Metric,test_Highest GMean Epoch,val_Highest GMean Epoch,val_mean,val_std,val_min,val_25%,val_50%,val_75%,val_max
accuracy,0.6100971288291173,0.6349860839088753,0.5791911486788307,0.06647000928984412,0.1424595402535821,0.5558189877332234,0.5967426038552727,0.6172559529945367,0.6605504587155964
kappa,0.5673077502934378,0.583756012721023,0.5257524068992746,0.06816233420081173,0.0772250654723015,0.5023018882859049,0.5440199671809167,0.5636833015867655,0.6095208774376593
f1_micro,0.6100971288291173,0.6349860839088753,0.5791911486788307,0.06647000928984412,0.1424595402535821,0.5558189877332234,0.5967426038552727,0.6172559529945367,0.6605504587155964
f1_macro,0.5813104441686995,0.5467668821059902,0.5023047195385305,0.05579677080512303,0.1015757691059659,0.4918183888843095,0.5161716671065242,0.5310097350481398,0.5532882033524603
f1_weighted,0.6128320867438651,0.6715909786960007,0.6192214857534372,0.06666743835215001,0.1309882691426713,0.6034980055294541,0.6370272375869298,0.652419257259079,0.6859157962614486
recall_micro,0.6100971288291173,0.6349860839088753,0.5791911486788307,0.06647000928984412,0.1424595402535821,0.5558189877332234,0.5967426038552727,0.6172559529945367,0.6605504587155964
recall_macro,0.6104651143989005,0.634464703154129,0.5851254243854223,0.05758181319653829,0.1749450770827975,0.5769870510124657,0.6013169626274171,0.614535458504655,0.634464703154129
recall_weighted,0.6100971288291173,0.6349860839088753,0.5791911486788307,0.06647000928984412,0.1424595402535821,0.5558189877332234,0.5967426038552727,0.6172559529945367,0.6605504587155964
precision_micro,0.6100971288291173,0.6349860839088753,0.5791911486788307,0.06647000928984412,0.1424595402535821,0.5558189877332234,0.5967426038552727,0.6172559529945367,0.6605504587155964
precision_macro,0.5752658069118463,0.567447767028717,0.541872495950582,0.04613523229862536,0.127639894705602,0.5385302084421184,0.5512258333432112,0.5596338132359149,0.575379703522914
precision_weighted,0.6221812983148748,0.7653798720257432,0.7448426198069352,0.05808254444412279,0.1693780719390166,0.7460536003857847,0.754619628345386,0.7614141639095776,0.772769225283251
gmean,0.7658972669951927,0.6094382586433735,0.5419250161427446,0.07718071171393222,0.0,0.5375713277718477,0.5624720482916622,0.5819340796066788,0.6094382586433735
precision_barley,0.8798109385550303,0.9688784497944803,0.9578129055289525,0.09185923750951339,0.0,0.9614401884972853,0.9710648148148148,0.97984493815395,0.9921052631578948
precision_wheat,0.7824876237623762,0.6576704545454546,0.6163243606538091,0.08963065011440502,0.0,0.5845969882735584,0.6291834002677377,0.6572156136025935,0.7809187279151943
