param,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fallow,precision_misc.,precision_orchards,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_barley,recall_wheat,recall_fallow,recall_misc.,recall_orchards,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables
0.5,0.41611111111111115,0.343125,0.41611111111111115,0.3680040625094998,0.3680040625094998,0.41611111111111115,0.41611111111111115,0.41611111111111115,0.41611111111111115,0.4433653388919144,0.4433653388919144,0.16133091934008392,0.39245817354688317,0.5679756718672,0.17304529616724737,0.5600582483877679,0.3349926006426718,0.42461415589164486,0.4507554517133957,0.47499107627533627,0.611397375535082,0.22749999999999998,0.5974999999999999,0.145,0.1375,0.5075,0.40750000000000003,0.1875,0.86,0.675
1.0,0.47444444444444445,0.40875000000000006,0.47444444444444445,0.4453944955272141,0.4453944955272141,0.47444444444444445,0.47444444444444456,0.47444444444444445,0.47444444444444445,0.5052856810436541,0.5052856810436541,0.35953303438223627,0.499691910237783,0.6987367633427282,0.2789600636999481,0.5194340004042854,0.3036347986982805,0.417805293298251,0.507904761904762,0.6553829316159961,0.6660206061908525,0.495,0.6174999999999999,0.2625,0.1925,0.3325,0.4175000000000001,0.315,0.875,0.7625
1.5,0.45166666666666666,0.383125,0.45166666666666666,0.4142121301823156,0.4142121301823156,0.45166666666666666,0.45166666666666666,0.45166666666666666,0.45166666666666666,0.47935457624475075,0.47935457624475075,0.2778324540450911,0.46930545541937035,0.5958715617610563,0.24983479281393878,0.5538505257175335,0.30991515487092974,0.44945025164537367,0.37439794806832855,0.5912561922772508,0.7203093036289757,0.3375,0.7424999999999999,0.11499999999999999,0.145,0.5850000000000001,0.3375,0.2725,0.89,0.64
2.0,0.44861111111111107,0.3796875,0.44861111111111107,0.4201673453523444,0.4201673453523444,0.44861111111111107,0.44861111111111107,0.44861111111111107,0.44861111111111107,0.4645404853891872,0.4645404853891872,0.3600822959234902,0.46965114465114466,0.6482450989403942,0.34807563959955506,0.4813535991837085,0.34257120129713825,0.38654091551042563,0.3559994353472614,0.4939880462004356,0.6544392877726211,0.3275,0.5625,0.2225,0.1875,0.3775,0.535,0.25,0.8724999999999999,0.7025
2.5,0.41305555555555556,0.33968750000000003,0.41305555555555556,0.3819097281101757,0.38190972811017576,0.41305555555555556,0.41305555555555556,0.41305555555555556,0.41305555555555556,0.4589248106477136,0.4589248106477136,0.3116715883018507,0.5004565209246563,0.5543618615157662,0.26405810051140777,0.5884653358337569,0.3006970622643962,0.39483804623801566,0.33616320510241104,0.6038202346084736,0.587462928830539,0.22999999999999998,0.49749999999999994,0.31,0.2125,0.2625,0.34500000000000003,0.3775,0.74,0.7424999999999999
3.0,0.45361111111111113,0.3853125,0.45361111111111113,0.4216885623344407,0.4216885623344406,0.45361111111111113,0.4536111111111111,0.45361111111111113,0.45361111111111113,0.4811804940312845,0.4811804940312845,0.26730641945828737,0.46671719179072124,0.6296257710059294,0.2894884910485933,0.5445902231860487,0.2953769332610662,0.37040504239370564,0.37186245381625865,0.6240681248575985,0.7384902149216387,0.26,0.6,0.1275,0.155,0.6849999999999999,0.34500000000000003,0.43,0.8425,0.6375
