epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fallow,precision_misc.,precision_orchards,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_barley,recall_wheat,recall_fallow,recall_misc.,recall_orchards,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
10,0.6910151367865575,0.633262555053334,0.6910151367865575,0.5631964924921776,0.7118027651565303,0.6910151367865575,0.6393016001685172,0.6910151367865575,0.6910151367865575,0.6012095370645885,0.8351786101182956,0.5585069209538199,0.5433070866141733,0.9262957679505468,0.12777777777777777,0.5432692307692307,0.11094108645753634,0.9244505494505495,0.3721518987341772,0.9812695109261186,0.8814229249011858,0.69,0.9735132433783108,0.23,0.226,0.7286432160804021,0.3365,0.735,0.942057942057942,0.892,1.166297,0.92393255,443227968,4875507648,223.88589429855347,102025
11,0.711290098597417,0.6566895547497444,0.711290098597417,0.5910265530213206,0.7431414736587175,0.711290098597417,0.6704672795855359,0.711290098597417,0.711290098597417,0.616459899676408,0.8494378711371264,0.6126147534639563,0.5273972602739726,0.9619289340101523,0.12915129151291513,0.5486725663716814,0.12687224669603525,0.9124866595517609,0.4421965317919075,0.9822361546499477,0.9171974522292994,0.77,0.9470264867566217,0.35,0.248,0.7236180904522613,0.4275,0.765,0.939060939060939,0.864,1.1019752,0.9149178,443227968,5318735616,222.84893679618835,102025
12,0.7149007082349673,0.6587185277089362,0.7149007082349673,0.5830618735044681,0.7436169630282622,0.7149007082349673,0.6682738033550228,0.7149007082349673,0.7149007082349673,0.6093465225604194,0.8407859199188391,0.6102405229964042,0.4540229885057471,0.9311175337186898,0.12156448202959831,0.5416666666666666,0.17194570135746606,0.8986742424242424,0.4336283185840708,0.9945828819068255,0.9369158878504673,0.79,0.9660169915042479,0.575,0.182,0.5728643216080402,0.4745,0.735,0.9170829170829171,0.802,1.0674345,0.9342479,443227968,5761963584,223.89993572235107,102025
13,0.6501874739619498,0.5918315679910939,0.6501874739619498,0.5641253894006903,0.6797490964215717,0.6501874739619498,0.6206389338510854,0.6501874739619498,0.6501874739619498,0.6564086074540623,0.8575397755986084,0.48573482593897654,0.75,0.983744100681699,0.21052631578947367,0.5194805194805194,0.083710407239819,0.9143426294820717,0.5779816513761468,0.9946524064171123,0.8732394366197183,0.72,0.9375312343828086,0.12,0.16,0.9296482412060302,0.2295,0.63,0.929070929070929,0.93,1.0373614,0.96437,443227968,6205191552,223.19372510910034,102025
14,0.7529509790306902,0.6989144629501965,0.7529509790306902,0.5975221866782195,0.774096740925186,0.7529509790306902,0.6614113534943998,0.7529509790306902,0.7529509790306902,0.6102469897171268,0.8315368138505805,0.6054633076466892,0.4935897435897436,0.9262607040913415,0.1406003159557662,0.5454545454545454,0.18478260869565216,0.8698023176550784,0.40607734806629836,0.9954493742889647,0.9302059496567505,0.77,0.9730134932533733,0.445,0.192,0.5125628140703518,0.638,0.735,0.8741258741258742,0.813,1.2055357,0.9059547,443227968,6648419520,222.2668697834015,102025
15,0.6715733925843633,0.6131741256060066,0.6715733925843633,0.5801813980169203,0.6930601586252214,0.6715733925843633,0.6597362388560922,0.6715733925843633,0.6715733925843633,0.63517780326713,0.847098759618471,0.5932240023114755,0.6868686868686869,0.9186535764375876,0.1325459317585302,0.45634920634920634,0.12403697996918336,0.9398230088495575,0.5315985130111525,0.9882978723404255,0.9384264538198404,0.68,0.9820089955022488,0.505,0.23,0.8090452261306532,0.2655,0.715,0.9280719280719281,0.823,1.0829151,0.93134505,443227968,7091647488,222.39270281791687,102025
16,0.7540619358422441,0.7031588251002839,0.7540619358422441,0.6250048577724274,0.7778440180609689,0.7540619358422441,0.6882786835678582,0.7540619358422441,0.7540619358422441,0.6441932113926434,0.8495941738874502,0.6326899583535508,0.6311475409836066,0.958128078817734,0.14874551971326164,0.5721649484536082,0.15930232558139534,0.8927108927108927,0.5398550724637681,0.9885416666666667,0.9071428571428571,0.77,0.9720139930034982,0.415,0.222,0.6884422110552764,0.545,0.745,0.948051948051948,0.889,1.0791852,0.82810664,443227968,7534875456,229.92476177215576,102025
17,0.7360088876544925,0.6833270993177576,0.7360088876544925,0.6177363137134854,0.764077827849888,0.7360088876544925,0.68050575105633,0.7360088876544925,0.7360088876544925,0.6525797530296584,0.8547953799572762,0.6290612831876304,0.6666666666666666,0.950587084148728,0.14395886889460155,0.5608465608465608,0.15880322209436135,0.9090909090909091,0.5708333333333333,0.9935965848452508,0.918834547346514,0.7,0.9710144927536232,0.56,0.212,0.6934673366834171,0.49,0.685,0.9300699300699301,0.883,0.9963214,0.86900455,443227968,7978103424,223.1451940536499,102025
18,0.7523955006249132,0.7004807771152397,0.7523955006249131,0.6195357247877485,0.7757955235982176,0.7523955006249132,0.6859547672413802,0.7523955006249132,0.7523955006249132,0.6305566191177138,0.8425086155610629,0.6415980938665734,0.5968992248062015,0.9391891891891891,0.1318051575931232,0.5695652173913044,0.2009966777408638,0.8869565217391304,0.4346590909090909,0.9717171717171718,0.9432213209733488,0.77,0.9725137431284357,0.46,0.262,0.6080402010050251,0.561,0.765,0.961038961038961,0.814,1.0677351,0.85368025,443227968,8421331392,221.24703073501587,102025
19,0.7174003610609637,0.6631468113441603,0.7174003610609637,0.6067995073300867,0.752877705036556,0.7174003610609637,0.663689320080858,0.7174003610609637,0.7174003610609637,0.6594044385371346,0.8613700786632371,0.5890459855151279,0.7319587628865979,0.9734558448187851,0.16389548693586697,0.5724137931034483,0.11535739561217269,0.9080234833659491,0.55859375,0.9956521739130435,0.9152892561983471,0.71,0.953023488255872,0.345,0.166,0.8190954773869347,0.464,0.715,0.9150849150849151,0.886,1.0349102,0.89222705,443227968,8864559360,228.1456639766693,102025
