epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_corn,precision_orchards,precision_cereals,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_corn,recall_orchards,recall_cereals,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
11,0.6735175670045827,0.6050454138665771,0.6735175670045827,0.553979847830609,0.6782071823039073,0.6735175670045827,0.6170255994005994,0.6735175670045827,0.6735175670045827,0.5710191505027273,0.7599119644608668,0.5666047627463862,0.13877551020408163,0.6666666666666666,0.07504078303425775,0.919496855345912,0.4182692307692308,0.8043478260869565,0.7874610938194754,0.758095238095238,0.34,0.854,0.46,0.3655,0.348,0.888,0.8855,0.7952047952047953,1.1049436,1.0632559,154860928,1703470208,85.94167351722717,101960
12,0.5908901541452576,0.5217274560548698,0.5908901541452576,0.5015504200028413,0.636498800257103,0.5908901541452576,0.619840472027972,0.5908901541452576,0.5908901541452576,0.5616643955722374,0.7724033539334291,0.55861368473248,0.05856189770200148,0.9796610169491525,0.11242603550295859,0.7732749178532311,0.3974358974358974,0.5149572649572649,0.9048200122025626,0.7521781219748306,0.79,0.578,0.57,0.353,0.186,0.964,0.7415,0.7762237762237763,1.2079483,1.0824345,154860928,1858331136,86.30731320381165,101960
13,0.6303291209554228,0.5677814917368496,0.6303291209554228,0.5652239202532744,0.6738679614130564,0.6303291209554228,0.6600782342657343,0.6303291209554228,0.6303291209554228,0.6057242580956754,0.819362720236565,0.6237880093948364,0.23178807947019867,0.9555555555555556,0.0719360568383659,0.9467162329615861,0.26534653465346536,0.793918918918919,0.9100346020761245,0.6704980842911877,0.35,0.731,0.81,0.382,0.536,0.94,0.6575,0.8741258741258742,1.1338428,1.0055655,154860928,2013192064,83.01623010635376,101960
14,0.6532426051937231,0.5931403306658277,0.6532426051937231,0.5836294653343866,0.7024686005005213,0.6532426051937231,0.6827706043956043,0.6532426051937231,0.6532426051937231,0.613536721978251,0.8294285165894332,0.6551995569250526,0.2011173184357542,0.9709595959595959,0.08527918781725888,0.9013215859030838,0.2724867724867725,0.797962648556876,0.9553571428571429,0.7238095238095238,0.36,0.769,0.84,0.5115,0.618,0.94,0.5885,0.8351648351648352,0.9406965,0.9593508,154860928,2168052992,82.40650868415833,101960
15,0.6149145951951118,0.5542081712508755,0.6149145951951118,0.5616933443906613,0.6677624551921306,0.6149145951951118,0.6802089785214784,0.6149145951951118,0.6149145951951118,0.6005003612490873,0.8096294963075672,0.6463563978228007,0.06223175965665236,0.9555555555555556,0.1261904761904762,0.8026004728132388,0.3451202263083451,0.7754098360655738,0.9525993883792049,0.7842951750236519,0.87,0.817,0.53,0.3395,0.488,0.946,0.623,0.8281718281718282,0.8510613,0.9012842,154860928,2322913920,87.0600643157959,101960
16,0.6426885154839606,0.5795069706258813,0.6426885154839606,0.5882766254229422,0.6770951872440054,0.6426885154839606,0.6647032342657343,0.6426885154839606,0.6426885154839606,0.6367483851833806,0.8089224229185367,0.6220665837054503,0.34532374100719426,0.763840830449827,0.054813773717498245,0.9480337078651685,0.4958904109589041,0.9221052631578948,0.8514386376981797,0.7125407166123778,0.48,0.883,0.78,0.3375,0.362,0.876,0.725,0.8741258741258742,1.0380545,1.0376719,154860928,2477774848,87.24815130233765,101960
17,0.7404527149007082,0.6870916517119581,0.7404527149007082,0.6439107725426415,0.769875838376136,0.7404527149007082,0.7432037337662338,0.7404527149007082,0.7404527149007082,0.6446445864588872,0.8276332539167706,0.7280829782905783,0.2085889570552147,0.8973080757726819,0.1085383502170767,0.8742977528089888,0.5,0.9047619047619048,0.9153798641136504,0.7482817869415808,0.68,0.9,0.75,0.6225,0.47,0.912,0.741,0.8701298701298701,1.0538434,0.81189656,154860928,2632635776,90.15176439285278,101960
18,0.6992084432717678,0.6433938587768104,0.6992084432717678,0.6117940956888973,0.7326857706564833,0.6992084432717678,0.7375086163836164,0.6992084432717678,0.6992084432717678,0.6221339564576558,0.8337339216074166,0.7187606634968055,0.17303370786516853,0.9622425629290617,0.10198300283286119,0.938700823421775,0.41652613827993257,0.797979797979798,0.9420689655172414,0.6445366528354081,0.77,0.841,0.72,0.513,0.494,0.948,0.683,0.9310689310689311,0.8762466,0.8099309,154860928,2787496704,87.66763186454773,101960
19,0.740869323705041,0.6871591073678314,0.7408693237050409,0.6371586442142336,0.7634615242608802,0.740869323705041,0.7384573551448551,0.740869323705041,0.740869323705041,0.6423466823042698,0.8298809069829141,0.7180435038813436,0.13903743315508021,0.9078014184397163,0.1318181818181818,0.9133211678832117,0.48674242424242425,0.8955512572533849,0.8579881656804734,0.8065134099616859,0.78,0.896,0.58,0.5005,0.514,0.926,0.87,0.8411588411588412,0.82629025,0.77790636,154860928,2942357632,85.74091935157776,101960
20,0.7103180113873073,0.6561012320160291,0.7103180113873073,0.6475816980897708,0.7548315732423551,0.7103180113873073,0.724828484015984,0.7103180113873073,0.7103180113873073,0.6718595768686952,0.8500659967365976,0.706007907807425,0.4339622641509434,0.9392624728850325,0.07677902621722846,0.94229112833764,0.39245283018867927,0.9,0.9092702169625246,0.7808586762075134,0.46,0.866,0.82,0.547,0.624,0.918,0.6915,0.8721278721278721,0.7349833,0.8118094,154860928,3097218560,89.88703560829163,101960
