Metric,test_Highest GMean Epoch,val_Highest GMean Epoch,val_mean,val_std,val_min,val_25%,val_50%,val_75%,val_max
accuracy,0.8212696917360129,0.8190529093181502,0.7944870042259677,0.06678698263654227,0.3213442577419803,0.7819747257325371,0.813220386057492,0.8291903902235801,0.8605749201499792
kappa,0.7924193843015819,0.7810807838224236,0.7519805827551179,0.0768449256421953,0.2014757522650403,0.73813663580008,0.7732109716834304,0.7916290742204479,0.8280407495010251
f1_micro,0.8212696917360129,0.8190529093181503,0.7944870042259676,0.06678698263654229,0.3213442577419803,0.7819747257325371,0.8132203860574919,0.82919039022358,0.8605749201499792
f1_macro,0.757642388401014,0.7409954588166212,0.7067812748210847,0.06921739277404881,0.1577781013027192,0.6980472809524378,0.7242107295540832,0.7384088800691059,0.7638366166428721
f1_weighted,0.8366377170018157,0.8442472787052034,0.8195226989247857,0.06787751865093389,0.2653386177015659,0.8128302419762963,0.8382563425453972,0.8497286559833295,0.871661347043705
recall_micro,0.8212696917360129,0.8190529093181502,0.7944870042259677,0.06678698263654227,0.3213442577419803,0.7819747257325371,0.813220386057492,0.8291903902235801,0.8605749201499792
recall_macro,0.8121410481849786,0.8512727157998371,0.8103459228472212,0.06952711936928292,0.226218327157615,0.8117723556389185,0.8273935484878212,0.8360822084148732,0.8512727157998371
recall_weighted,0.8212696917360129,0.8190529093181502,0.7944870042259677,0.06678698263654227,0.3213442577419803,0.7819747257325371,0.813220386057492,0.8291903902235801,0.8605749201499792
precision_micro,0.8212696917360129,0.8190529093181502,0.7944870042259677,0.06678698263654227,0.3213442577419803,0.7819747257325371,0.813220386057492,0.8291903902235801,0.8605749201499792
precision_macro,0.7577684278376312,0.725706691001661,0.698758014693014,0.06058672370147663,0.1771616663580187,0.6971939658817785,0.7134166310703927,0.7216717244986147,0.7419491171547181
precision_weighted,0.8708519407835038,0.8962333719978851,0.8745285486946356,0.06085442172345279,0.2981825299933127,0.8773376267419991,0.886323882465858,0.8906485836280446,0.8964087901692132
gmean,0.8900207530965231,0.8464054787211768,0.8008983425076558,0.08928378891234813,0.0,0.8041038691490371,0.820675152549931,0.8305461835855787,0.8464054787211768
precision_barley,0.9262197540658468,0.4068627450980392,0.29148157749986736,0.09073440000534702,0.0,0.2447129909365558,0.3018181818181818,0.3518518518518518,0.5128205128205128
precision_corn,0.9332886356017432,0.950445986124876,0.9296477733702334,0.1006063192621331,0.0,0.9317307692307693,0.9450441609421,0.955897435897436,0.979064039408867
precision_orchards,0.2846219201359388,0.136150234741784,0.14704238901688824,0.03588872380379131,0.05,0.1208981001727115,0.1425891181988743,0.1749408983451536,0.2371541501976284
precision_cereals,0.7893707205738507,0.943127962085308,0.8934343382881352,0.09320862727761203,0.0,0.8834586466165414,0.9074074074074074,0.9239931934203064,0.9642133693450372
precision_protein_crops,0.3503601833660772,0.6009316770186336,0.5439760807481222,0.10185223717898326,0.0669934640522875,0.4974683544303797,0.5596590909090909,0.6064,0.7464114832535885
precision_rapeseed,0.9797775530839232,0.939922480620155,0.9544682313250167,0.09336320988878759,0.1818181818181818,0.9546351084812624,0.975103734439834,0.9836065573770492,0.9958071278825996
precision_temp._meadows,0.8959801077496892,0.963245492371706,0.9569998037234998,0.01612724718482278,0.8846657929226737,0.9510204081632652,0.9596439169139466,0.9687083888149136,0.9784449576597384
