param,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_orchards,precision_perm._meadows,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_wheat,recall_corn,recall_orchards,recall_perm._meadows,recall_rapeseed,recall_temp._meadows,recall_vegetables
0.5,0.4978571428571429,0.41416666666666674,0.4978571428571429,0.46067010215187176,0.4606701021518719,0.4978571428571429,0.49785714285714294,0.4978571428571429,0.4978571428571429,0.48471724253404946,0.48471724253404946,0.3147089972685207,0.5344896661676721,0.5620992286845945,0.43485070081937965,0.21277018633540373,0.5396594442923448,0.44689412133235884,0.6622573501065931,0.4774999999999999,0.48249999999999993,0.5575,0.11749999999999998,0.5900000000000001,0.5750000000000001,0.685
1.0,0.6071428571428571,0.5416666666666666,0.6071428571428571,0.5828031856842075,0.5828031856842074,0.6071428571428571,0.6071428571428572,0.6071428571428571,0.6071428571428571,0.6249693068046513,0.6249693068046513,0.47506625582665957,0.7234962765206296,0.7871113335616379,0.49538208364714603,0.3596742476357243,0.7704952003732491,0.4455276423964948,0.793098363497677,0.7775,0.6225,0.525,0.31,0.885,0.3975000000000001,0.7325
1.5,0.5332142857142858,0.45541666666666664,0.5332142857142858,0.5032558035380879,0.5032558035380879,0.5332142857142858,0.5332142857142858,0.5332142857142858,0.5332142857142858,0.5660482829146036,0.5660482829146036,0.3354299051231969,0.6706744691093307,0.5744671914919841,0.4303861742346289,0.31453823953823956,0.7197827009591715,0.47943569943569947,0.7730535056331715,0.53,0.5575,0.5925,0.315,0.8125,0.32999999999999996,0.595
2.0,0.5278571428571428,0.4491666666666667,0.5278571428571428,0.49969608117329567,0.49969608117329567,0.5278571428571428,0.5278571428571428,0.5278571428571428,0.5278571428571428,0.5281832348831507,0.5281832348831507,0.3852641846665578,0.6444785194976868,0.5316755091191181,0.39684119657315725,0.29701068306110323,0.6750650683504209,0.3752692483465694,0.7769424192339986,0.62,0.52,0.5774999999999999,0.31,0.75,0.3325,0.585
2.5,0.4385714285714286,0.3449999999999999,0.4385714285714286,0.395272459438708,0.395272459438708,0.4385714285714286,0.4385714285714285,0.4385714285714286,0.4385714285714286,0.42499637290570186,0.42499637290570186,0.1861967463409799,0.49067231408415807,0.4884997729825316,0.3637854099266157,0.14728260869565218,0.4196192306288653,0.4141556684285465,0.6509596055935437,0.525,0.3125,0.47000000000000003,0.14750000000000002,0.535,0.5525,0.5275000000000001
3.0,0.5153571428571428,0.4345833333333333,0.5153571428571428,0.481835871301035,0.48183587130103495,0.5153571428571428,0.5153571428571428,0.5153571428571428,0.5153571428571428,0.5166541550264022,0.5166541550264022,0.16445370159815115,0.6327431656192242,0.5872348484848484,0.39696746029791413,0.39759228990350276,0.6680158288592261,0.2560968588062184,0.6779286332138816,0.5450000000000002,0.4375,0.5775,0.3424999999999999,0.7275,0.2775,0.7
