epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fodder,precision_orchards,precision_protein_crops,precision_temp._meadows,precision_vegetables,recall_fodder,recall_orchards,recall_protein_crops,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.5914617670899757,0.15073286865731572,0.5914617670899757,0.20703943765160707,0.47937471091259104,0.5914617670899757,0.23806163836163838,0.5914617670899757,0.5914617670899757,0.24784147882810298,0.49338195758328124,0.0,0.0,0.0,0.0,0.6530612244897959,0.5861461696507191,0.0,0.0,0.0,0.1918081918081918,0.9985,1.7428685,1.5119091,234952960,234952960,112.22802090644836,101765
1,0.5536341529316401,0.3707899811763451,0.5536341529316401,0.3268660158122909,0.598612607739032,0.5536341529316401,0.48294545454545457,0.5536341529316401,0.5536341529316401,0.4441627869879241,0.7668305054464438,0.32147425316448663,0.37254901960784315,0.08654970760233918,0.07746478873239436,0.7338709677419355,0.950379451255108,0.038,0.74,0.55,0.2727272727272727,0.814,1.5563055,1.1366804,234952960,469905920,115.91357755661011,101765
2,0.5549851391515807,0.3910848435887787,0.5549851391515807,0.3963252050149791,0.6196830703471442,0.5549851391515807,0.5751933066933066,0.5549851391515807,0.5549851391515807,0.47061058553300883,0.7762265967258168,0.48944577300377207,0.48201438848920863,0.14119922630560927,0.09130913091309131,0.6691729323308271,0.9693572496263079,0.134,0.73,0.83,0.5334665334665335,0.6485,1.143859,1.0829072,234952960,704858880,114.19157004356384,101765
3,0.5992974871656309,0.4378172952788635,0.5992974871656309,0.4400579006698203,0.6547934589082052,0.5992974871656309,0.5998773226773226,0.5992974871656309,0.5992974871656309,0.47900967581030934,0.7747596094818079,0.5432813069062864,0.4649122807017544,0.18404907975460122,0.10727056019070322,0.6725082146768894,0.9663082437275986,0.212,0.6,0.9,0.6133866133866134,0.674,1.0027126,0.99782586,234952960,939811840,111.06725931167603,101765
4,0.6079437989732505,0.4499041149395593,0.6079437989732505,0.45280431427680873,0.6696380713631568,0.6079437989732505,0.6036891108891109,0.6079437989732505,0.6079437989732505,0.48597443974453247,0.7877260164778354,0.5728241852460991,0.4751552795031056,0.17464788732394365,0.10513141426783479,0.7007575757575758,0.9741800418702024,0.306,0.62,0.84,0.5544455544455544,0.698,0.95862323,0.98402727,234952960,1174764800,118.28328728675842,101765
5,0.5287760064847339,0.37323838899136585,0.5287760064847339,0.4061141353714067,0.6112100205145445,0.5287760064847339,0.5955186813186814,0.5287760064847339,0.5287760064847339,0.4890091983358065,0.8007764118627038,0.5503969710554664,0.5289855072463768,0.1184407796101949,0.09364908503767493,0.7307001795332136,0.9732704402515723,0.292,0.79,0.87,0.4065934065934066,0.619,1.0046632,1.125335,234952960,1409717760,115.34271740913391,101765
6,0.6468522021075385,0.4886967928380447,0.6468522021075385,0.4769364721441166,0.6940275500811977,0.6468522021075385,0.6205046953046953,0.6468522021075385,0.6468522021075385,0.4894485272801168,0.784963693506854,0.5940407932489893,0.41282565130260523,0.20454545454545456,0.13423831070889894,0.7271341463414634,0.9684990735021618,0.412,0.54,0.89,0.47652347652347654,0.784,0.94441265,0.92257935,234952960,1644670720,112.97935390472412,101765
7,0.5960551202377736,0.43768581639698667,0.5960551202377736,0.4413027041989933,0.6583406127258665,0.5960551202377736,0.6253232767232767,0.5960551202377736,0.5960551202377736,0.4878525670540041,0.7984210815453208,0.587232434547935,0.45542168674698796,0.13980582524271845,0.12101063829787234,0.7456310679611651,0.9773936170212766,0.378,0.72,0.91,0.3836163836163836,0.735,0.9012208,1.0110102,234952960,1879623680,115.0640115737915,101765
8,0.5333693596325317,0.3801683612176874,0.5333693596325317,0.4109321882805551,0.6154379994635207,0.5333693596325317,0.6092238761238761,0.5333693596325317,0.5333693596325317,0.49050347415280315,0.807172488952492,0.5626629075123085,0.5191082802547771,0.11674347158218126,0.10117145899893504,0.7257142857142858,0.9897798742138365,0.326,0.76,0.95,0.3806193806193806,0.6295,0.91570157,1.1576866,234952960,2114576640,113.74878406524658,101765
9,0.5895703863820589,0.4375746823225092,0.5895703863820589,0.45532812829616753,0.6600134240201451,0.5895703863820589,0.6304945054945055,0.5895703863820589,0.5895703863820589,0.4964506712196024,0.803570570254055,0.6023235168252998,0.49722222222222223,0.16985645933014354,0.10440835266821345,0.7242798353909465,0.9864864864864865,0.358,0.71,0.9,0.5274725274725275,0.657,0.88737524,1.0700005,234952960,2349529600,113.55039644241333,101765
