,mean,std,min,25%,50%,75%,max,Highest GMean Epoch
epoch,17.5,10.535653752852738,0.0,8.75,17.5,26.25,35.0,16.0
accuracy,0.7061520448293233,0.018145426123287053,0.6463370335929327,0.6968680983377892,0.7090259211902825,0.7188644222945484,0.7339300244100895,0.7185574799488551
kappa,0.6429802985328722,0.02250037502929114,0.5669826633303001,0.6337143233703836,0.6455001339052555,0.6585636285597767,0.6759932839170271,0.6591204658118062
f1_micro,0.7061520448293233,0.018145426123287043,0.6463370335929327,0.6968680983377892,0.7090259211902825,0.7188644222945484,0.7339300244100894,0.7185574799488551
f1_macro,0.5239291601336311,0.04118099653701473,0.382444215030761,0.5132831650940015,0.5317879969989141,0.5503678359592792,0.5695866663135237,0.5488105557014363
f1_weighted,0.6861434295853718,0.02372905375111312,0.6013270265938259,0.6784806982156355,0.6905245822329604,0.7022314405286209,0.7156988155108847,0.7039232188365645
recall_micro,0.7061520448293233,0.018145426123287053,0.6463370335929327,0.6968680983377892,0.7090259211902825,0.7188644222945484,0.7339300244100895,0.7185574799488551
recall_macro,0.5152179253469685,0.03305517204698159,0.406804112197312,0.5056194418759357,0.5180830206380866,0.5379603912804323,0.5560831819220762,0.537503788374734
recall_weighted,0.7061520448293233,0.018145426123287053,0.6463370335929327,0.6968680983377892,0.7090259211902825,0.7188644222945484,0.7339300244100895,0.7185574799488551
precision_micro,0.7061520448293233,0.018145426123287053,0.6463370335929327,0.6968680983377892,0.7090259211902825,0.7188644222945484,0.7339300244100895,0.7185574799488551
precision_macro,0.6151964567932504,0.058469723662705364,0.4288029197157493,0.5911327874072398,0.6273753532637887,0.6543877328744514,0.7080799831255671,0.6248794239794209
precision_weighted,0.7052629425131688,0.030047937356852003,0.5951646774594678,0.7008327658560211,0.715482039628075,0.7225746117799511,0.7351066218961658,0.7171880307729378
gmean,0.19925763206867272,0.13041555831726895,0.0,0.0,0.2607335220580018,0.2993587769710673,0.3473964767887091,0.3473964767887091
precision_class_0,0.8839524483015189,0.09768372734551563,0.5850545370155489,0.8820990863061275,0.9165397359187963,0.9342278489964575,0.9525691699604744,0.8835247666905959
precision_class_1,0.8002842596492182,0.05178612399112196,0.587427875138874,0.7912322687456109,0.8075839440044232,0.8261404532751782,0.8661795179408878,0.8274497713375469
precision_class_2,0.9536698157125575,0.017410230235773736,0.8892980092800479,0.9506574629457882,0.9587730373878083,0.9653945132431215,0.97213923886219,0.9653885743695316
precision_class_3,0.7039264009594601,0.0964045876764899,0.4343163538873995,0.6660080976349431,0.7254972586049344,0.7638151332824265,0.8460291734197731,0.7168067226890756
precision_class_4,0.146343977877888,0.06617516190707214,0.0,0.12054085155350976,0.15538341822297674,0.18607422919265726,0.3033707865168539,0.1576128538638102
precision_class_5,0.4937901154167686,0.06521462975095584,0.3850374064837905,0.4455269633841062,0.48399175465719324,0.5308140456563095,0.6445086705202312,0.5361702127659574
precision_class_6,0.1932790024733223,0.20026083270644993,0.0,0.0,0.1698717948717948,0.27454545454545454,1.0,0.1447368421052631
precision_class_7,0.48133612044193996,0.11040014913852672,0.0884955752212389,0.43734156002725033,0.4802628188702881,0.5429787145192648,0.6864220758858577,0.5215222612229817
precision_class_8,0.4698288141253611,0.01572876655131189,0.4247776392791498,0.4605052261891257,0.4714196657841795,0.4796971432991688,0.5049561353537655,0.4790137053352912
precision_class_9,0.4838336302731325,0.15189194246105436,0.0,0.4068898699534549,0.4933687002652519,0.5854107193833857,0.6958762886597938,0.5617433414043583
precision_class_10,0.9219500048223777,0.04029940806226882,0.8122555410691004,0.9047716722948236,0.9312024277937789,0.955888695152589,0.9720125786163522,0.8862545865086086
precision_class_11,0.6604798578247403,0.036544934351323756,0.5713126230140211,0.6452794119763114,0.6684286193873881,0.682811444743072,0.7152320729556502,0.6690535681638126
precision_class_12,0.8048794904339704,0.06967615875023037,0.5832264683252116,0.7789942665633274,0.812510351109639,0.8390504618079759,0.9144265232974912,0.7741553052756373
recall_class_0,0.7297869358003927,0.0971413945454695,0.5306980656013457,0.6600925147182506,0.7299411269974769,0.8074852817493692,0.8994112699747687,0.8280908326324643
recall_class_1,0.9501169659812986,0.01536256798747344,0.8970370808445207,0.9430776509551126,0.9537820095806967,0.9604352711573719,0.97167189070909,0.952333077059554
recall_class_2,0.9655265579524054,0.008477075082205111,0.9373715973292244,0.9607890344119159,0.9680758859784283,0.9709007447354905,0.976791217257319,0.9634052388289676
recall_class_3,0.1647308675387159,0.04618958686432359,0.0365358592692828,0.14608705457825885,0.1764772214704555,0.1965493910690121,0.2325214253495715,0.1923770861524582
recall_class_4,0.010832260832260774,0.016446950793291965,0.0,0.0017820017820017,0.0071280071280071,0.012325512325512251,0.0804870804870804,0.0611820611820611
recall_class_5,0.10379726337948335,0.04574954781434389,0.0106873937333009,0.07037891668690792,0.10663104202088895,0.13814670876852073,0.1875151809570075,0.0918144279815399
recall_class_6,0.016691033138401534,0.021887664848884467,0.0,0.0,0.006578947368421,0.0241228070175438,0.0855263157894736,0.0241228070175438
recall_class_7,0.426535469638918,0.12840441932675464,0.0087077673284569,0.3900644374782306,0.452020202020202,0.4941657958899338,0.6125043538836642,0.4916405433646812
recall_class_8,0.6800560413107254,0.12450560205439284,0.3690829995262092,0.6542404272731188,0.7174053495283628,0.7616832493431538,0.8660033596071844,0.6744196063229531
recall_class_9,0.4021164021164022,0.1482142639385427,0.0,0.3283410138248848,0.4485407066052227,0.5065284178187404,0.5944700460829493,0.3563748079877112
