,mean,std,min,25%,50%,75%,max,Highest GMean Epoch
epoch,51.5,30.166206257996713,0.0,25.75,51.5,77.25,103.0,84.0
accuracy,0.5929879531066982,0.04723327882026679,0.2670943275601534,0.5747740613739394,0.5998888469138672,0.6202106096710449,0.6514224689061955,0.6472015575961874
kappa,0.5345308732726243,0.05191197644422569,0.1630418945333317,0.517749860400218,0.5407927284327472,0.5628001949968172,0.5933178112142504,0.5920770637152166
f1_micro,0.5929879531066982,0.04723327882026679,0.2670943275601534,0.5747740613739394,0.5998888469138672,0.6202106096710449,0.6514224689061955,0.6472015575961874
f1_macro,0.5196581387223135,0.05473387661912122,0.1456122388920537,0.5066360473142966,0.5302197872507242,0.5493111475296966,0.5734510767462123,0.566820407810337
f1_weighted,0.6000904433884208,0.04828064430758963,0.2674564575376952,0.5845201596442686,0.6094331822107644,0.6235792551043,0.6642901288986413,0.6642901288986413
recall_micro,0.5929879531066982,0.04723327882026679,0.2670943275601534,0.5747740613739394,0.5998888469138672,0.6202106096710449,0.6514224689061955,0.6472015575961874
recall_macro,0.5736193298641924,0.053194309390325746,0.1913185341403364,0.5625848978248986,0.5835051905474188,0.6023618650948332,0.6259029570409347,0.624877665620883
recall_weighted,0.5929879531066982,0.04723327882026679,0.2670943275601534,0.5747740613739394,0.5998888469138672,0.6202106096710449,0.6514224689061955,0.6472015575961874
precision_micro,0.5929879531066982,0.04723327882026679,0.2670943275601534,0.5747740613739394,0.5998888469138672,0.6202106096710449,0.6514224689061955,0.6472015575961874
precision_macro,0.5415248245932567,0.05574883611300196,0.1699335298388914,0.5327881473783128,0.5550242780843622,0.5713912988360702,0.5973847277005765,0.5549039090793666
precision_weighted,0.7081302650890723,0.047314792856348695,0.3486237106608922,0.7073304707479856,0.7206505316842318,0.727390163301209,0.7411219217665475,0.7236607963994656
gmean,0.49119323912157076,0.0959399641711438,0.0,0.48360234466244933,0.5071162583280497,0.5339974052792598,0.5784363329679079,0.5784363329679079
precision_class_0,0.8780844056746996,0.12046546355226397,0.1713665943600867,0.8652786114445778,0.9158135536040282,0.9371260674045414,0.9692906574394464,0.8862928348909658
precision_class_1,0.8665693569252633,0.07200473512824004,0.2444707126637011,0.8498640126556073,0.8775988670511122,0.8982871340434804,0.9288794533271412,0.9288794533271412
precision_class_2,0.9659772212180958,0.05940592443438926,0.461169702780441,0.9711128329101499,0.9774262457264444,0.9801810089372145,0.9861858368474624,0.9821465076660988
precision_class_3,0.21598533589269175,0.05384830131172544,0.0781155015197568,0.18741964803876382,0.21640236410800445,0.24075255272048995,0.4155154091392136,0.240344684385382
precision_class_4,0.11316666803354805,0.021416261622383057,0.0,0.1001225430536963,0.11441061685488499,0.1279078154415985,0.1540243902439024,0.1341589267285861
precision_class_5,0.25520262137702293,0.041544460123012085,0.0709241446487276,0.2364042521292668,0.25861645049920684,0.2764777751163875,0.3336831059811123,0.2607230036033942
precision_class_6,0.08148069859768202,0.039529036930224755,0.0,0.05814836340253985,0.07529643063980246,0.09703867062952412,0.2325581395348837,0.0592930444697833
precision_class_7,0.4717167364989835,0.10425829039457171,0.0509963574030426,0.41228372668696744,0.4938617293653012,0.5416302745009074,0.6374063670411985,0.5325009653752092
precision_class_8,0.4637527592243225,0.032327645992839535,0.3581580716412177,0.4430317402112457,0.4627615812770929,0.483325080564832,0.5325340472587592,0.5080038252047732
precision_class_9,0.3962614838000199,0.14199731448615113,0.0,0.29427416773367476,0.4071963056079856,0.5073126984405424,0.6468926553672316,0.4363636363636363
precision_class_10,0.8367325552882897,0.09702083868453674,0.1489518205222508,0.8254227535269354,0.8486405463312161,0.8854940969478952,0.9345487148834428,0.8020330368487929
precision_class_11,0.744987020018133,0.0616335953055565,0.5264332706766918,0.7241105408564833,0.7662481149849936,0.7850356640575827,0.8207997065297139,0.7205307025004253
precision_class_12,0.7499058571635845,0.11245754410870179,0.0985497116896732,0.7188520703973649,0.7742771473794503,0.810609183452483,0.9048414023372288,0.7224801966675771
recall_class_0,0.70748366435919,0.12757121562201332,0.0531539108494533,0.6667367535744323,0.7249789739276704,0.7915475189234651,0.8832632464255677,0.8613961312026913
recall_class_1,0.8772734820327822,0.06437066230979689,0.4647820687207996,0.8618339345910462,0.8872493938139452,0.9144538411496836,0.9502631734579218,0.8280205807558105
recall_class_2,0.9085016766425663,0.08377654882729486,0.108082948125321,0.9022935927067284,0.9221077298407807,0.9303495762711864,0.954994863893169,0.9253338469440164
