param,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fodder,precision_orchards,precision_protein_crops,precision_temp._meadows,precision_vegetables,recall_fodder,recall_orchards,recall_protein_crops,recall_temp._meadows,recall_vegetables
0.5,0.5309999999999999,0.41375,0.5309999999999999,0.4942117486984238,0.49421174869842377,0.5309999999999999,0.531,0.5309999999999999,0.5309999999999999,0.5360947882531717,0.5360947882531717,0.3635625348396527,0.47498407034535484,0.5057404610492846,0.5309721488785099,0.46328919285025416,0.705488068142455,0.14250000000000002,0.6325000000000001,0.5925,0.5125,0.775
1.0,0.504,0.38,0.504,0.46152630933042343,0.46152630933042343,0.504,0.504,0.504,0.504,0.5257030409519408,0.5257030409519408,0.35823657818225885,0.3703962854953332,0.5424927429493092,0.5796732434195132,0.43710826210826215,0.6988446707872863,0.48999999999999994,0.6449999999999999,0.485,0.16999999999999998,0.7299999999999999
1.5,0.5135,0.39187500000000003,0.5135,0.4923144656244339,0.4923144656244339,0.5135,0.5135,0.5135,0.5135,0.5167080311665668,0.5167080311665668,0.3865013778914208,0.37472340306915763,0.4843820695433598,0.5534990678079581,0.4519635919635919,0.7189720234487664,0.47750000000000004,0.5375,0.4875,0.3625,0.7025
2.0,0.479,0.34875,0.479,0.4303777584797908,0.4303777584797908,0.479,0.479,0.479,0.479,0.52496688203603,0.52496688203603,0.3519981735193708,0.39693877551020407,0.49459197397906135,0.6408815569645057,0.4318696086911256,0.6605524950352537,0.10500000000000001,0.53,0.45999999999999996,0.605,0.6950000000000001
2.5,0.49050000000000005,0.363125,0.49050000000000005,0.4569003247767062,0.4569003247767062,0.49050000000000005,0.49050000000000005,0.49050000000000005,0.49050000000000005,0.5077753683080145,0.5077753683080145,0.40231624176324887,0.44365168539325844,0.5153303135245154,0.5547558779647065,0.4229526068496634,0.6021863578079285,0.20750000000000002,0.5275000000000001,0.34249999999999997,0.5725,0.8025
3.0,0.514,0.3925,0.514,0.47886025861475173,0.47886025861475173,0.514,0.514,0.514,0.514,0.5172409582828431,0.5172409582828431,0.36351654859726795,0.34348338692913394,0.5371271090682587,0.553127601276093,0.4514954970757449,0.7009711970649847,0.1775,0.65,0.6050000000000001,0.485,0.6525000000000001
