Metric,test_Highest GMean Epoch,val_Highest GMean Epoch,val_mean,val_std,val_min,val_25%,val_50%,val_75%,val_max
accuracy,0.619075887998417,0.7708727370980816,0.7129708533383218,0.06270530101487914,0.5287760064847339,0.6953526074034044,0.7319643339637936,0.7576330721426641,0.7849229937854634
kappa,0.503029757332051,0.6498623858840382,0.5715320173366939,0.0868935888554016,0.1507328686573157,0.5508062487497806,0.5973736692763283,0.6280154178500604,0.6660635171630096
f1_micro,0.619075887998417,0.7708727370980816,0.7129708533383217,0.06270530101487914,0.5287760064847339,0.6953526074034044,0.7319643339637936,0.7576330721426641,0.7849229937854634
f1_macro,0.5713314008411619,0.5983225599138045,0.5361369632874808,0.06571575341478349,0.207039437651607,0.5196016998139121,0.5563052874403389,0.577125009614063,0.6027968702787729
f1_weighted,0.6331098579533906,0.7938619421819235,0.7430388483732525,0.0560858867167093,0.479374710912591,0.7303239583262027,0.7618821559929139,0.7788204138226604,0.7999935566479908
recall_micro,0.619075887998417,0.7708727370980816,0.7129708533383218,0.06270530101487914,0.5287760064847339,0.6953526074034044,0.7319643339637936,0.7576330721426641,0.7849229937854634
recall_macro,0.6636403104535533,0.7365683316683317,0.6853114654576192,0.06774233170853153,0.2380616383616383,0.6847979270729271,0.7070339160839161,0.7182226273726273,0.7365683316683317
recall_weighted,0.619075887998417,0.7708727370980816,0.7129708533383218,0.06270530101487914,0.5287760064847339,0.6953526074034044,0.7319643339637936,0.7576330721426641,0.7849229937854634
precision_micro,0.619075887998417,0.7708727370980816,0.7129708533383218,0.06270530101487914,0.5287760064847339,0.6953526074034044,0.7319643339637936,0.7576330721426641,0.7849229937854634
precision_macro,0.566289078771762,0.5790458294557952,0.5401101648857742,0.04585071226156225,0.2478414788281029,0.523690924849354,0.5524740272937099,0.5667992819657109,0.5891287787201109
precision_weighted,0.6883474160398433,0.8390454916264621,0.8162244807640376,0.04038905653606631,0.4933819575832812,0.8135069241372077,0.8249182268505117,0.830364185201121,0.8430995974439297
gmean,0.774799318209196,0.722161847845483,0.6550801112073319,0.09591753080994979,0.0,0.6552609035970276,0.6837391323167085,0.697146763039601,0.722161847845483
precision_fodder,0.6564659427443238,0.607981220657277,0.5334811106485317,0.09753800489573332,0.0,0.48374115757525654,0.5362269446672012,0.5792401783957499,0.7137809187279152
precision_orchards,0.2618629173989455,0.2225609756097561,0.19260518207073923,0.0419219936121183,0.0,0.1683053856354536,0.19529349514162805,0.21582110595994836,0.3056994818652849
precision_protein_crops,0.3708086785009862,0.2937293729372937,0.23502921715639558,0.07376915665349562,0.0,0.2068073741288956,0.2578191039729501,0.2857516368350527,0.3490196078431372
precision_temp._meadows,0.6311580294305822,0.7930204572803851,0.7682961171628495,0.03425469548629,0.6530612244897959,0.7508889357246781,0.7765830346475509,0.7891242294106784,0.8344671201814059
precision_vegetables,0.911149825783972,0.9779371207942636,0.9711391973903551,0.04470452510789782,0.5861461696507191,0.9720309572923025,0.9773040941586001,0.9807445798385821,0.9897798742138364
recall_fodder,0.4433333333333333,0.518,0.4531025641025641,0.11604103503296502,0.0,0.4205,0.458,0.5195000000000001,0.67
recall_orchards,0.6535087719298246,0.73,0.7001282051282052,0.10722586417178435,0.0,0.67,0.72,0.76,0.84
recall_protein_crops,0.8663594470046083,0.89,0.8735897435897434,0.11066474888909582,0.0,0.87,0.89,0.9075,0.95
recall_temp._meadows,0.6576666666666666,0.6583416583416584,0.5452368144675838,0.10647325087963964,0.1918081918081918,0.5124875124875125,0.5539460539460539,0.6128871128871128,0.7532467532467533
recall_vegetables,0.6973333333333334,0.8865,0.8544999999999998,0.07737650403464462,0.619,0.842375,0.881,0.9,0.9985
epoch,,58.0,38.5,22.66053838724932,0.0,19.25,38.5,57.75,77.0
trainloss,,0.61968964,0.7423230610256409,0.19306749350262228,0.546965,0.6255473699999999,0.693924905,0.8001561475,1.7428685
valloss,,0.6573361,0.7643646198717949,0.16256126110372313,0.6101793,0.6626707425,0.70377555,0.80661895,1.5119091
FLOPs_per_epoch,,234952960.0,234952960.0,0.0,234952960.0,234952960.0,234952960.0,234952960.0,234952960.0
cumulative_FLOPs,,13862224640.0,9280641920.0,5324160569.277855,234952960.0,4757797440.0,9280641920.0,13803486400.0,18326330880.0
runtime_per_epoch,,116.02557754516602,114.93817653717139,2.464572965338185,110.19732284545898,112.82567512989046,115.25187039375305,117.01131361722946,119.74434566497804
Params,,101765.0,101765.0,0.0,101765.0,101765.0,101765.0,101765.0,101765.0
Statistical Parity Difference,-0.151989497233324,,,,,,,,
Error Rate Ratio,1.4295422810547769,,,,,,,,
Disparate Impact,0.7647801818483344,,,,,,,,
True Positive Rate (Privileged),0.6461594028413196,,,,,,,,
True Positive Rate (Unprivileged),0.4941699056079955,,,,,,,,
False Positive Rate (Privileged),0.3538405971586805,,,,,,,,
False Positive Rate (Unprivileged),0.5058300943920044,,,,,,,,
Accuracy (Privileged),0.6461594028413196,,,,,,,,
Accuracy (Unprivileged),0.4941699056079955,,,,,,,,
F1 Macro (Privileged),0.5698080443544754,,,,,,,,
F1 Macro (Unprivileged),0.4727761170736778,,,,,,,,
F1 Macro Difference,0.0970319272807975,,,,,,,,
