epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_corn,precision_fodder,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_wheat,recall_corn,recall_fodder,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
10,0.44625,0.3804368807689178,0.44625,0.3198191577086725,0.470839518887173,0.44625,0.4575416666666667,0.44625,0.44625,0.3830178614649781,0.717268228053403,0.38341291238183517,0.36578171091445427,0.08701472556894244,0.37777777777777777,0.127208480565371,0.12048192771084337,0.08865468071915684,0.6556213017751479,0.8469750889679716,0.0531496062992126,0.7990732940185341,0.10788863109048724,0.9665871121718377,0.496,0.65,0.765,0.18,0.2,0.715,0.277,0.119,0.27,0.9485,0.465,0.405,1.8473005,1.5956893,202930944,2232240384,119.11846470832825,102220
11,0.4909375,0.42499117543240383,0.4909375,0.3459380843346689,0.49957466059582883,0.4909375,0.47370833333333334,0.4909375,0.4909375,0.40355571857508615,0.7314571960242444,0.3565672879643839,0.32633587786259544,0.10720887245841035,0.5451505016722408,0.15987460815047022,0.14084507042253522,0.09079365079365079,0.6769527483124397,0.8888888888888888,0.046875,0.8196860415782775,0.1005586592178771,0.9394987035436474,0.684,0.58,0.815,0.51,0.1,0.715,0.351,0.06,0.18,0.966,0.18,0.5435,1.4712163,1.5829952,202930944,2435171328,119.02755212783813,102220
12,0.4689583333333333,0.3993600970040905,0.4689583333333333,0.3428793720439425,0.47092596341121834,0.4689583333333333,0.46608333333333335,0.4689583333333333,0.4689583333333333,0.4131485566345002,0.7211615310601548,0.36651147378407994,0.4721115537848606,0.11176470588235295,0.6594827586206896,0.12323943661971831,0.10552763819095477,0.1145631067961165,0.7869742198100407,0.8210526315789474,0.05202312138728324,0.6880960791239844,0.08746355685131195,0.9354838709677419,0.474,0.57,0.765,0.35,0.21,0.59,0.29,0.039,0.18,0.974,0.6,0.551,1.4684381,1.5742538,202930944,2638102272,123.74115300178528,102220
13,0.43041666666666667,0.3719093702438043,0.43041666666666667,0.3327134630698803,0.4661532958243217,0.43041666666666667,0.4639166666666667,0.43041666666666667,0.43041666666666667,0.442746065687482,0.7779301234212637,0.3242656584020734,0.5818181818181818,0.10855949895615867,0.7037037037037037,0.132,0.08695652173913043,0.08896396396396396,0.7526315789473684,0.84375,0.039329464861379754,0.9136760426770126,0.09691160809371673,0.9646522234891676,0.384,0.52,0.76,0.33,0.04,0.79,0.286,0.027,0.61,0.942,0.455,0.423,1.3003995,1.4783242,202930944,2841033216,119.67940998077393,102220
14,0.5009375,0.44093915842342357,0.5009375,0.35719280775375356,0.5410858906691182,0.5009375,0.47908333333333336,0.5009375,0.5009375,0.41463134657201817,0.7613076628906359,0.3439959722713155,0.4410919540229885,0.10707456978967496,0.5555555555555556,0.06896551724137931,0.08333333333333333,0.08269794721407625,0.7371638141809291,0.7979094076655052,0.09345794392523364,0.9867695700110254,0.09367859862909368,0.9278779472954231,0.614,0.56,0.825,0.12,0.03,0.705,0.3015,0.1145,0.3,0.895,0.615,0.669,1.5118731,1.5298434,202930944,3043964160,120.24282383918762,102220
15,0.5207291666666667,0.46243196666244746,0.5207291666666667,0.3673046362488164,0.5215846095347065,0.5207291666666667,0.5281666666666668,0.5207291666666667,0.5207291666666667,0.42844841953569784,0.7722268509369877,0.3719725860598765,0.38246628131021193,0.10912343470483005,0.5808580858085809,0.14957264957264957,0.10714285714285714,0.11748878923766816,0.8430493273542601,0.8035714285714286,0.10073710073710074,0.9561049445005045,0.0928462709284627,0.8984198645598194,0.794,0.61,0.88,0.35,0.03,0.655,0.188,0.0675,0.41,0.9475,0.61,0.796,1.47578,1.3564506,202930944,3246895104,120.2150285243988,102220
16,0.5077083333333333,0.450149431723155,0.5077083333333333,0.37109493259734894,0.5305116592738871,0.5077083333333333,0.5307916666666667,0.5077083333333333,0.5077083333333333,0.4351458441420332,0.7840778882049465,0.41345631052593484,0.3333333333333333,0.11056910569105691,0.5860927152317881,0.1270718232044199,0.19117647058823528,0.11627906976744186,0.7873873873873873,0.8641114982578397,0.09205020920502092,0.9676409185803758,0.09730113636363637,0.9487364620938629,0.858,0.68,0.885,0.115,0.13,0.65,0.2185,0.124,0.44,0.927,0.685,0.657,1.343265,1.3577843,202930944,3449826048,126.76030969619751,102220
17,0.4847916666666667,0.42894803939019277,0.4847916666666667,0.3527153663849381,0.5054200413564558,0.4847916666666667,0.52575,0.4847916666666667,0.4847916666666667,0.4281568111978975,0.7991421528127403,0.4022377921090737,0.4526699029126214,0.0921409214092141,0.42823529411764705,0.1493212669683258,0.10810810810810811,0.0916310323762981,0.8296943231441049,0.8841463414634146,0.0798611111111111,0.9713839750260146,0.10458167330677291,0.9461077844311377,0.746,0.68,0.91,0.33,0.08,0.75,0.19,0.0725,0.46,0.9335,0.525,0.632,1.3190637,1.3143392,202930944,3652756992,119.41243386268616,102220
18,0.5079166666666667,0.4505592494233044,0.5079166666666667,0.38548858847819445,0.5363591749889821,0.5079166666666667,0.5260416666666666,0.5079166666666667,0.5079166666666667,0.4644949622430343,0.7999934328092955,0.3855989318920131,0.5382262996941896,0.13226452905811623,0.8031914893617021,0.1506849315068493,0.11475409836065574,0.09669046073977937,0.8131524008350731,0.8461538461538461,0.06830601092896176,0.9585677749360614,0.09470304975922954,0.9572446555819477,0.704,0.66,0.755,0.33,0.07,0.745,0.3895,0.0275,0.5,0.937,0.59,0.6045,1.3087052,1.3667603,202930944,3855687936,128.39260053634644,102220
19,0.5954166666666667,0.5373987613149118,0.5954166666666667,0.43961523275014464,0.6522228096920961,0.5954166666666667,0.5535,0.5954166666666667,0.5954166666666667,0.45723020226243305,0.7928103447051399,0.5142116766817303,0.5798922800718133,0.11936936936936937,0.660377358490566,0.11832946635730858,0.12682926829268293,0.14,0.7861060329067642,0.8270750988142292,0.09731543624161074,0.9743589743589743,0.10353227771010962,0.9535768645357686,0.646,0.53,0.875,0.255,0.26,0.665,0.43,0.4185,0.58,0.931,0.425,0.6265,1.210219,1.3576739,202930944,4058618880,123.49633741378784,102220
